time_key,system_key,team_key,target_resolution_hours,actual_resolution_hours,sla_breach_percentage
579,1,3,24.0,23.2,0.5
610,1,3,24.0,23.38,0.44
640,1,3,24.0,18.14,0.88
671,1,3,24.0,18.77,1.41
701,1,3,24.0,21.56,1.16
1,1,4,24.0,19.16,1.74
32,1,4,24.0,20.71,0.2
61,1,4,24.0,25.41,0.41
92,1,4,24.0,19.92,1.02
122,1,4,24.0,25.27,0.17
153,1,4,24.0,22.99,1.0
183,1,4,24.0,25.58,1.13
214,1,4,24.0,25.16,0.36
245,1,4,24.0,23.37,0.51
275,1,4,24.0,19.18,0.1
306,1,4,24.0,22.46,0.3
336,1,4,24.0,23.24,0.56
367,1,4,24.0,25.04,0.41
398,1,4,24.0,25.32,1.03
426,1,4,24.0,23.76,0.33
457,1,4,24.0,21.81,0.14
487,1,4,24.0,20.0,0.94
518,1,4,24.0,19.49,1.22
548,1,4,24.0,20.04,0.56
579,1,4,24.0,25.05,2.3
610,1,4,24.0,25.41,0.26
640,1,4,24.0,20.14,0.89
671,1,4,24.0,19.69,0.11
701,1,4,24.0,21.27,1.32
1,1,5,24.0,24.83,1.75
32,1,5,24.0,22.75,0.1
61,1,5,24.0,20.75,0.5
92,1,5,24.0,19.95,0.72
122,1,5,24.0,19.03,1.79
153,1,5,24.0,22.53,0.45
183,1,5,24.0,23.72,1.1
214,1,5,24.0,20.97,0.32
245,1,5,24.0,22.9,0.86
275,1,5,24.0,24.85,0.71
306,1,5,24.0,18.45,0.2
336,1,5,24.0,21.0,0.28
367,1,5,24.0,23.02,0.21
398,1,5,24.0,21.43,1.23
426,1,5,24.0,18.19,1.88
457,1,5,24.0,22.13,0.3
487,1,5,24.0,21.17,0.15
518,1,5,24.0,25.46,0.43
548,1,5,24.0,20.32,1.07
579,1,5,24.0,19.41,0.37
610,1,5,24.0,25.45,0.15
640,1,5,24.0,18.99,2.02
671,1,5,24.0,25.55,0.2
701,1,5,24.0,23.4,1.48
1,1,6,24.0,20.66,1.39
32,1,6,24.0,23.96,0.45
61,1,6,24.0,18.55,0.19
92,1,6,24.0,18.3,0.11
122,1,6,24.0,25.39,0.19
153,1,6,24.0,20.75,0.42
183,1,6,24.0,19.47,1.01
214,1,6,24.0,20.03,0.39
245,1,6,24.0,21.56,0.1
275,1,6,24.0,23.49,0.13
306,1,6,24.0,21.53,1.03
336,1,6,24.0,21.13,0.16
367,1,6,24.0,22.01,0.31
398,1,6,24.0,24.64,0.81
426,1,6,24.0,22.67,1.64
457,1,6,24.0,20.55,1.44
487,1,6,24.0,25.49,0.54
518,1,6,24.0,25.38,0.46
548,1,6,24.0,24.1,1.22
579,1,6,24.0,18.94,1.22
610,1,6,24.0,24.35,0.91
640,1,6,24.0,24.21,0.71
671,1,6,24.0,25.15,0.91
701,1,6,24.0,22.47,1.41
1,1,7,24.0,18.16,2.16
32,1,7,24.0,21.87,1.13
61,1,7,24.0,24.38,0.92
92,1,7,24.0,21.71,1.41
122,1,7,24.0,22.92,0.56
153,1,7,24.0,21.86,0.34
183,1,7,24.0,21.39,0.59
214,1,7,24.0,20.43,0.35
245,1,7,24.0,22.03,0.55
275,1,7,24.0,25.83,0.72
306,1,7,24.0,25.71,0.12
336,1,7,24.0,20.05,0.82
367,1,7,24.0,19.09,0.58
398,1,7,24.0,24.25,0.23
426,1,7,24.0,19.06,0.11
457,1,7,24.0,21.22,1.23
487,1,7,24.0,22.22,0.34
518,1,7,24.0,23.39,0.65
548,1,7,24.0,21.61,1.13
579,1,7,24.0,20.35,1.67
610,1,7,24.0,23.64,0.39
640,1,7,24.0,21.72,1.55
671,1,7,24.0,21.87,0.84
701,1,7,24.0,25.12,0.55
1,1,8,24.0,22.43,0.65
32,1,8,24.0,19.14,0.52
61,1,8,24.0,23.66,0.97
92,1,8,24.0,21.6,0.28
122,1,8,24.0,25.79,0.31
153,1,8,24.0,22.78,1.67
183,1,8,24.0,20.83,0.34
214,1,8,24.0,18.5,0.14
245,1,8,24.0,25.45,1.23
275,1,8,24.0,21.53,0.82
306,1,8,24.0,19.35,0.64
336,1,8,24.0,21.27,0.17
367,1,8,24.0,21.97,0.82
398,1,8,24.0,24.4,0.25
426,1,8,24.0,20.5,1.13
457,1,8,24.0,20.37,0.15
487,1,8,24.0,19.33,0.42
518,1,8,24.0,22.85,0.2
548,1,8,24.0,19.33,0.32
579,1,8,24.0,22.25,0.37
610,1,8,24.0,21.87,0.3
640,1,8,24.0,24.39,1.26
671,1,8,24.0,25.03,1.65
701,1,8,24.0,20.53,0.7
1,1,9,24.0,24.14,0.37
32,1,9,24.0,22.3,0.27
61,1,9,24.0,22.44,0.18
92,1,9,24.0,18.71,0.26
122,1,9,24.0,19.53,0.2
153,1,9,24.0,24.3,0.2
183,1,9,24.0,22.13,0.43
214,1,9,24.0,24.94,0.58
245,1,9,24.0,22.37,0.4
275,1,9,24.0,23.3,0.57
306,1,9,24.0,22.81,0.14
336,1,9,24.0,21.38,0.51
367,1,9,24.0,20.14,0.26
398,1,9,24.0,23.28,0.47
426,1,9,24.0,19.28,1.16
457,1,9,24.0,25.26,1.27
487,1,9,24.0,20.18,0.61
518,1,9,24.0,25.09,0.57
548,1,9,24.0,25.26,0.86
579,1,9,24.0,20.1,0.12
610,1,9,24.0,25.33,0.39
640,1,9,24.0,23.22,0.31
671,1,9,24.0,18.89,0.31
701,1,9,24.0,25.3,0.11
1,1,10,24.0,19.57,0.11
32,1,10,24.0,21.29,0.49
61,1,10,24.0,18.52,0.49
92,1,10,24.0,22.76,0.25
122,1,10,24.0,25.36,0.39
153,1,10,24.0,23.11,1.05
183,1,10,24.0,20.92,0.12
214,1,10,24.0,23.53,1.14
245,1,10,24.0,21.65,0.53
275,1,10,24.0,18.84,0.55
306,1,10,24.0,18.06,0.16
336,1,10,24.0,25.41,1.46
367,1,10,24.0,18.22,0.55
398,1,10,24.0,21.32,0.47
426,1,10,24.0,21.1,0.13
457,1,10,24.0,18.34,0.8
487,1,10,24.0,18.95,0.88
518,1,10,24.0,24.24,0.11
548,1,10,24.0,22.24,0.31
579,1,10,24.0,25.17,0.68
610,1,10,24.0,23.05,0.81
640,1,10,24.0,25.68,0.3
671,1,10,24.0,25.98,0.28
701,1,10,24.0,20.55,0.46
1,2,1,24.0,22.86,0.43
32,2,1,24.0,19.96,0.1
61,2,1,24.0,22.07,0.25
92,2,1,24.0,24.85,0.57
122,2,1,24.0,22.1,0.34
153,2,1,24.0,25.37,0.26
183,2,1,24.0,19.6,0.97
214,2,1,24.0,21.7,1.14
245,2,1,24.0,19.45,1.05
275,2,1,24.0,21.14,2.33
306,2,1,24.0,19.27,0.96
336,2,1,24.0,21.66,0.2
367,2,1,24.0,22.66,0.11
398,2,1,24.0,25.08,0.43
426,2,1,24.0,22.58,0.37
457,2,1,24.0,19.4,1.05
487,2,1,24.0,24.36,0.27
518,2,1,24.0,21.73,0.41
548,2,1,24.0,21.53,1.4
579,2,1,24.0,18.99,0.27
610,2,1,24.0,25.36,0.31
640,2,1,24.0,22.64,0.2
671,2,1,24.0,24.5,0.58
701,2,1,24.0,23.82,0.47
1,2,2,24.0,21.71,0.81
32,2,2,24.0,22.29,0.66
61,2,2,24.0,18.52,2.82
92,2,2,24.0,21.25,0.42
122,2,2,24.0,20.04,1.08
153,2,2,24.0,21.53,0.17
183,2,2,24.0,18.63,0.11
214,2,2,24.0,23.9,0.14
245,2,2,24.0,19.13,1.26
275,2,2,24.0,21.3,0.62
306,2,2,24.0,23.12,0.18
336,2,2,24.0,18.16,0.55
367,2,2,24.0,21.49,0.33
398,2,2,24.0,22.4,0.19
426,2,2,24.0,25.65,0.1
457,2,2,24.0,25.69,0.95
487,2,2,24.0,20.48,0.89
518,2,2,24.0,23.26,1.21
548,2,2,24.0,22.49,0.72
579,2,2,24.0,23.7,0.59
610,2,2,24.0,23.1,1.26
640,2,2,24.0,23.62,0.22
671,2,2,24.0,25.9,0.12
701,2,2,24.0,24.47,1.02
1,2,3,24.0,25.79,0.79
32,2,3,24.0,21.15,0.63
61,2,3,24.0,20.01,0.78
92,2,3,24.0,18.36,0.14
122,2,3,24.0,20.34,0.36
153,2,3,24.0,19.08,0.37
183,2,3,24.0,20.1,1.13
214,2,3,24.0,23.2,0.13
245,2,3,24.0,24.18,0.72
275,2,3,24.0,22.83,0.52
306,2,3,24.0,21.14,0.42
336,2,3,24.0,19.48,0.18
367,2,3,24.0,22.0,0.16
398,2,3,24.0,23.5,0.12
426,2,3,24.0,22.34,0.27
457,2,3,24.0,24.49,0.43
487,2,3,24.0,19.52,0.29
518,2,3,24.0,18.15,0.69
548,2,3,24.0,18.67,0.24
579,2,3,24.0,25.41,0.14
610,2,3,24.0,24.38,1.14
640,2,3,24.0,24.72,0.23
671,2,3,24.0,19.07,0.14
701,2,3,24.0,18.41,0.11
1,2,4,24.0,22.65,0.4
32,2,4,24.0,19.5,1.03
61,2,4,24.0,19.87,0.21
92,2,4,24.0,25.75,0.35
122,2,4,24.0,18.52,0.47
153,2,4,24.0,22.09,0.18
183,2,4,24.0,19.21,1.56
214,2,4,24.0,21.35,0.5
245,2,4,24.0,24.43,0.13
275,2,4,24.0,24.15,0.62
306,2,4,24.0,25.17,1.08
336,2,4,24.0,18.96,0.31
367,2,4,24.0,23.09,0.24
398,2,4,24.0,20.48,0.21
426,2,4,24.0,25.79,0.25
457,2,4,24.0,22.86,0.16
487,2,4,24.0,18.88,0.81
518,2,4,24.0,22.05,0.87
548,2,4,24.0,21.35,0.17
579,2,4,24.0,22.83,0.59
610,2,4,24.0,20.88,0.11
640,2,4,24.0,18.76,0.66
671,2,4,24.0,25.41,0.37
701,2,4,24.0,24.94,0.87
1,2,5,24.0,23.99,0.63
32,2,5,24.0,19.9,0.79
61,2,5,24.0,23.21,0.69
92,2,5,24.0,22.17,0.28
122,2,5,24.0,20.92,0.33
153,2,5,24.0,24.36,0.19
183,2,5,24.0,24.1,0.16
214,2,5,24.0,20.82,0.34
245,2,5,24.0,21.16,0.18
275,2,5,24.0,19.41,1.81
306,2,5,24.0,18.59,0.11
336,2,5,24.0,22.88,0.27
367,2,5,24.0,24.51,0.56
398,2,5,24.0,21.57,0.47
426,2,5,24.0,25.25,0.17
457,2,5,24.0,24.68,0.3
487,2,5,24.0,23.92,0.77
518,2,5,24.0,23.21,0.76
548,2,5,24.0,25.76,0.24
579,2,5,24.0,18.11,0.8
610,2,5,24.0,23.12,0.35
640,2,5,24.0,25.74,0.35
671,2,5,24.0,21.12,3.02
701,2,5,24.0,18.4,0.12
1,2,6,24.0,19.42,0.63
32,2,6,24.0,19.63,0.54
61,2,6,24.0,20.91,0.68
92,2,6,24.0,18.39,0.34
122,2,6,24.0,18.51,0.62
153,2,6,24.0,20.92,0.2
183,2,6,24.0,24.84,0.98
214,2,6,24.0,22.68,0.82
245,2,6,24.0,22.53,1.54
275,2,6,24.0,19.01,0.64
306,2,6,24.0,19.66,0.33
336,2,6,24.0,22.16,0.29
367,2,6,24.0,24.27,1.06
398,2,6,24.0,21.37,0.59
426,2,6,24.0,19.9,0.27
457,2,6,24.0,22.1,0.18
487,2,6,24.0,20.61,0.38
518,2,6,24.0,24.84,0.6
548,2,6,24.0,25.29,0.15
579,2,6,24.0,20.99,0.54
610,2,6,24.0,22.0,0.31
640,2,6,24.0,20.55,0.15
671,2,6,24.0,23.66,0.36
701,2,6,24.0,19.0,0.33
1,2,7,24.0,20.84,0.21
32,2,7,24.0,21.79,0.69
61,2,7,24.0,23.82,0.37
92,2,7,24.0,18.46,1.1
122,2,7,24.0,26.0,0.59
153,2,7,24.0,19.48,0.32
183,2,7,24.0,22.5,0.28
214,2,7,24.0,18.21,0.36
245,2,7,24.0,18.15,0.2
275,2,7,24.0,25.24,0.71
306,2,7,24.0,24.66,0.55
336,2,7,24.0,19.34,2.34
367,2,7,24.0,19.79,0.13
398,2,7,24.0,25.01,0.13
426,2,7,24.0,19.9,0.24
457,2,7,24.0,21.65,0.73
487,2,7,24.0,18.64,0.61
518,2,7,24.0,23.7,0.12
548,2,7,24.0,25.17,0.66
579,2,7,24.0,18.12,0.24
610,2,7,24.0,21.99,0.34
640,2,7,24.0,24.93,0.19
671,2,7,24.0,19.97,0.41
701,2,7,24.0,25.86,0.58
1,2,8,24.0,18.14,0.15
32,2,8,24.0,23.93,0.99
61,2,8,24.0,24.67,0.95
92,2,8,24.0,21.6,0.38
122,2,8,24.0,20.21,0.79
153,2,8,24.0,23.1,0.37
183,2,8,24.0,23.22,0.11
214,2,8,24.0,25.62,0.91
245,2,8,24.0,20.57,0.54
275,2,8,24.0,23.94,0.13
306,2,8,24.0,19.13,0.5
336,2,8,24.0,18.86,0.76
367,2,8,24.0,20.3,0.22
398,2,8,24.0,22.82,0.38
426,2,8,24.0,18.64,0.5
457,2,8,24.0,25.7,0.17
487,2,8,24.0,25.39,0.83
518,2,8,24.0,25.44,0.33
548,2,8,24.0,23.49,1.95
579,2,8,24.0,19.99,0.12
610,2,8,24.0,18.23,2.43
640,2,8,24.0,23.3,0.27
671,2,8,24.0,19.09,0.58
701,2,8,24.0,24.18,0.63
1,2,9,24.0,25.19,0.23
32,2,9,24.0,24.79,0.95
61,2,9,24.0,18.35,0.15
92,2,9,24.0,21.57,0.11
122,2,9,24.0,25.94,0.42
153,2,9,24.0,21.31,0.19
183,2,9,24.0,19.73,0.43
214,2,9,24.0,18.63,0.16
245,2,9,24.0,23.41,0.47
275,2,9,24.0,22.1,0.13
306,2,9,24.0,18.3,0.19
336,2,9,24.0,20.33,0.22
367,2,9,24.0,24.71,0.27
398,2,9,24.0,23.96,0.2
426,2,9,24.0,18.35,0.35
457,2,9,24.0,25.5,0.37
487,2,9,24.0,20.5,0.16
518,2,9,24.0,20.39,0.61
548,2,9,24.0,24.92,0.59
579,2,9,24.0,24.2,0.63
610,2,9,24.0,22.18,0.37
640,2,9,24.0,20.9,0.34
671,2,9,24.0,24.26,0.49
701,2,9,24.0,24.52,0.53
1,2,10,24.0,18.15,1.98
32,2,10,24.0,20.59,0.4
61,2,10,24.0,19.89,0.29
92,2,10,24.0,20.31,1.68
122,2,10,24.0,22.34,0.44
153,2,10,24.0,19.8,0.54
183,2,10,24.0,19.42,0.69
214,2,10,24.0,22.25,0.26
245,2,10,24.0,21.81,0.17
275,2,10,24.0,20.42,1.15
306,2,10,24.0,19.99,0.22
336,2,10,24.0,22.53,0.62
367,2,10,24.0,20.1,0.24
398,2,10,24.0,22.64,0.83
426,2,10,24.0,20.52,0.63
457,2,10,24.0,18.25,0.19
487,2,10,24.0,20.64,0.25
518,2,10,24.0,18.83,0.61
548,2,10,24.0,23.42,0.39
579,2,10,24.0,21.85,0.54
610,2,10,24.0,19.16,1.08
640,2,10,24.0,20.79,0.47
671,2,10,24.0,18.33,0.35
701,2,10,24.0,19.94,0.36
1,3,1,24.0,24.24,0.25
32,3,1,24.0,22.04,0.97
61,3,1,24.0,20.07,0.16
92,3,1,24.0,21.3,1.05
122,3,1,24.0,25.38,0.42
153,3,1,24.0,22.67,0.26
183,3,1,24.0,18.2,0.14
214,3,1,24.0,21.23,0.32
245,3,1,24.0,21.56,0.24
275,3,1,24.0,18.99,0.82
306,3,1,24.0,25.03,0.46
336,3,1,24.0,21.29,0.37
367,3,1,24.0,23.27,0.56
398,3,1,24.0,23.37,0.39
426,3,1,24.0,19.68,0.44
457,3,1,24.0,25.9,0.57
487,3,1,24.0,19.76,0.16
518,3,1,24.0,22.12,0.4
548,3,1,24.0,21.5,0.78
579,3,1,24.0,21.85,0.25
610,3,1,24.0,25.57,1.08
640,3,1,24.0,20.05,1.84
671,3,1,24.0,19.84,0.36
701,3,1,24.0,19.71,0.64
1,3,2,24.0,18.44,0.82
32,3,2,24.0,23.38,0.51
61,3,2,24.0,21.75,1.41
92,3,2,24.0,21.09,0.6
122,3,2,24.0,19.45,0.14
153,3,2,24.0,20.87,1.46
183,3,2,24.0,23.78,0.18
214,3,2,24.0,25.13,2.96
245,3,2,24.0,22.47,0.54
275,3,2,24.0,21.43,0.77
306,3,2,24.0,18.68,0.22
336,3,2,24.0,23.71,0.14
367,3,2,24.0,21.24,0.45
398,3,2,24.0,25.83,0.12
426,3,2,24.0,24.26,0.49
457,3,2,24.0,24.34,0.28
487,3,2,24.0,25.86,0.8
518,3,2,24.0,20.08,1.46
548,3,2,24.0,18.26,0.77
579,3,2,24.0,25.01,0.28
610,3,2,24.0,20.44,0.66
640,3,2,24.0,21.76,0.49
671,3,2,24.0,23.89,0.71
701,3,2,24.0,19.9,0.61
1,3,3,24.0,22.26,0.46
32,3,3,24.0,25.02,0.61
61,3,3,24.0,20.84,0.26
92,3,3,24.0,20.81,0.65
122,3,3,24.0,18.86,1.07
153,3,3,24.0,24.54,0.74
183,3,3,24.0,22.67,0.33
214,3,3,24.0,19.3,0.15
245,3,3,24.0,18.35,0.28
275,3,3,24.0,18.99,0.85
306,3,3,24.0,24.3,0.28
336,3,3,24.0,19.68,0.34
367,3,3,24.0,20.33,0.81
398,3,3,24.0,22.74,0.36
426,3,3,24.0,25.95,0.21
457,3,3,24.0,18.1,1.21
487,3,3,24.0,18.47,0.32
518,3,3,24.0,25.29,0.15
548,3,3,24.0,25.44,0.31
579,3,3,24.0,25.85,0.62
610,3,3,24.0,23.4,1.17
640,3,3,24.0,20.62,0.46
671,3,3,24.0,23.21,0.2
701,3,3,24.0,18.54,0.2
1,3,4,24.0,19.33,0.99
32,3,4,24.0,24.85,1.56
61,3,4,24.0,18.02,0.5
92,3,4,24.0,23.33,0.19
122,3,4,24.0,19.76,0.21
153,3,4,24.0,19.29,1.08
183,3,4,24.0,21.95,0.46
214,3,4,24.0,24.3,1.92
245,3,4,24.0,20.78,0.32
275,3,4,24.0,18.02,0.17
306,3,4,24.0,18.16,0.13
336,3,4,24.0,19.8,0.94
367,3,4,24.0,22.71,0.29
398,3,4,24.0,23.4,0.12
426,3,4,24.0,25.03,0.86
457,3,4,24.0,25.59,0.14
487,3,4,24.0,21.64,0.14
518,3,4,24.0,20.06,0.56
548,3,4,24.0,22.89,0.61
579,3,4,24.0,21.6,0.56
610,3,4,24.0,21.19,1.02
640,3,4,24.0,24.79,2.09
671,3,4,24.0,22.87,0.39
701,3,4,24.0,23.52,1.09
1,3,5,24.0,24.47,1.45
32,3,5,24.0,24.62,0.39
61,3,5,24.0,23.92,0.33
92,3,5,24.0,20.97,0.56
122,3,5,24.0,23.22,0.26
153,3,5,24.0,21.68,0.44
183,3,5,24.0,25.43,1.25
214,3,5,24.0,22.34,1.35
245,3,5,24.0,24.21,0.4
275,3,5,24.0,24.39,0.5
306,3,5,24.0,25.79,0.15
336,3,5,24.0,22.95,1.17
367,3,5,24.0,21.61,0.12
398,3,5,24.0,21.84,1.34
426,3,5,24.0,24.53,0.3
457,3,5,24.0,18.29,2.52
487,3,5,24.0,19.64,0.25
518,3,5,24.0,20.57,1.26
548,3,5,24.0,21.88,0.4
579,3,5,24.0,23.13,0.79
610,3,5,24.0,18.8,1.19
640,3,5,24.0,19.01,0.32
671,3,5,24.0,23.45,0.63
701,3,5,24.0,25.88,0.16
1,3,6,24.0,21.53,0.42
32,3,6,24.0,20.05,0.39
61,3,6,24.0,23.6,1.0
92,3,6,24.0,18.25,1.06
122,3,6,24.0,20.95,0.27
153,3,6,24.0,23.12,0.24
183,3,6,24.0,22.0,0.35
214,3,6,24.0,21.36,0.92
245,3,6,24.0,21.02,0.61
275,3,6,24.0,22.02,0.62
306,3,6,24.0,18.95,0.21
336,3,6,24.0,22.02,1.47
367,3,6,24.0,21.67,0.88
398,3,6,24.0,21.35,0.28
426,3,6,24.0,18.44,0.3
457,3,6,24.0,25.38,0.45
487,3,6,24.0,25.04,0.21
518,3,6,24.0,23.71,0.27
548,3,6,24.0,18.98,0.74
579,3,6,24.0,19.42,0.9
610,3,6,24.0,22.6,0.83
640,3,6,24.0,24.97,0.2
671,3,6,24.0,21.99,0.11
701,3,6,24.0,24.72,1.08
1,3,7,24.0,23.18,0.2
32,3,7,24.0,25.38,0.61
61,3,7,24.0,22.58,1.19
92,3,7,24.0,20.64,1.97
122,3,7,24.0,23.12,0.46
153,3,7,24.0,20.81,0.38
183,3,7,24.0,20.46,0.11
214,3,7,24.0,21.16,0.12
245,3,7,24.0,18.28,2.16
275,3,7,24.0,23.18,0.24
306,3,7,24.0,22.26,0.12
336,3,7,24.0,20.92,0.32
367,3,7,24.0,18.66,1.19
398,3,7,24.0,18.63,0.36
426,3,7,24.0,19.63,0.6
457,3,7,24.0,21.41,0.49
487,3,7,24.0,24.11,1.01
518,3,7,24.0,24.18,0.12
548,3,7,24.0,19.4,0.29
579,3,7,24.0,23.24,0.42
610,3,7,24.0,25.21,0.51
640,3,7,24.0,24.32,0.41
671,3,7,24.0,25.12,0.85
701,3,7,24.0,18.89,0.18
1,3,8,24.0,24.54,0.51
32,3,8,24.0,23.26,0.15
61,3,8,24.0,21.68,1.04
92,3,8,24.0,23.76,0.18
122,3,8,24.0,23.6,0.33
153,3,8,24.0,20.26,0.8
183,3,8,24.0,23.77,1.82
214,3,8,24.0,21.17,0.23
245,3,8,24.0,21.22,0.26
275,3,8,24.0,19.46,0.42
306,3,8,24.0,23.24,0.76
336,3,8,24.0,21.29,0.47
367,3,8,24.0,18.67,0.43
398,3,8,24.0,18.9,0.66
426,3,8,24.0,25.73,0.39
457,3,8,24.0,21.68,0.15
487,3,8,24.0,18.11,0.88
518,3,8,24.0,22.99,0.58
548,3,8,24.0,24.62,0.67
579,3,8,24.0,24.75,0.49
610,3,8,24.0,22.82,0.34
640,3,8,24.0,23.44,0.11
671,3,8,24.0,22.97,0.16
701,3,8,24.0,18.36,0.28
1,3,9,24.0,22.24,0.33
32,3,9,24.0,18.78,0.12
61,3,9,24.0,23.8,0.57
92,3,9,24.0,23.95,0.45
122,3,9,24.0,24.24,0.11
153,3,9,24.0,19.4,0.27
183,3,9,24.0,22.37,0.44
214,3,9,24.0,20.32,0.25
245,3,9,24.0,23.22,0.7
275,3,9,24.0,18.53,1.12
306,3,9,24.0,19.27,0.6
336,3,9,24.0,18.31,1.72
367,3,9,24.0,19.53,0.16
398,3,9,24.0,22.69,0.66
426,3,9,24.0,25.68,0.37
457,3,9,24.0,25.66,0.84
487,3,9,24.0,19.83,0.13
518,3,9,24.0,23.15,0.13
548,3,9,24.0,22.12,0.26
579,3,9,24.0,23.91,0.77
610,3,9,24.0,18.75,0.41
640,3,9,24.0,22.96,0.76
671,3,9,24.0,21.77,0.67
701,3,9,24.0,20.81,0.29
1,3,10,24.0,20.02,1.23
32,3,10,24.0,21.3,0.4
61,3,10,24.0,25.73,0.2
92,3,10,24.0,22.72,0.75
122,3,10,24.0,25.0,0.32
153,3,10,24.0,22.32,0.49
183,3,10,24.0,23.41,0.22
214,3,10,24.0,24.48,0.22
245,3,10,24.0,19.49,0.5
275,3,10,24.0,19.23,0.19
306,3,10,24.0,20.55,0.94
336,3,10,24.0,21.85,1.68
367,3,10,24.0,25.49,1.45
398,3,10,24.0,18.14,0.24
426,3,10,24.0,22.1,0.26
457,3,10,24.0,20.26,0.35
487,3,10,24.0,23.18,0.19
518,3,10,24.0,23.66,0.38
548,3,10,24.0,19.29,0.15
579,3,10,24.0,24.34,0.21
610,3,10,24.0,23.84,0.3
640,3,10,24.0,23.54,1.24
671,3,10,24.0,20.87,2.99
701,3,10,24.0,21.51,0.28
1,4,1,24.0,23.15,0.25
32,4,1,24.0,19.29,0.51
61,4,1,24.0,24.07,0.35
92,4,1,24.0,24.24,1.64
122,4,1,24.0,23.54,1.25
153,4,1,24.0,25.09,0.13
183,4,1,24.0,19.42,0.49
214,4,1,24.0,22.27,0.73
245,4,1,24.0,22.29,1.08
275,4,1,24.0,24.88,1.04
306,4,1,24.0,24.93,1.17
336,4,1,24.0,20.13,0.17
367,4,1,24.0,20.48,0.58
398,4,1,24.0,19.22,0.52
426,4,1,24.0,19.08,1.05
457,4,1,24.0,24.61,0.51
487,4,1,24.0,22.91,0.53
518,4,1,24.0,25.13,1.49
548,4,1,24.0,21.1,0.31
579,4,1,24.0,21.62,1.12
610,4,1,24.0,20.01,0.7
640,4,1,24.0,18.04,0.74
671,4,1,24.0,24.75,0.21
701,4,1,24.0,19.04,0.66
1,4,2,24.0,23.99,0.34
32,4,2,24.0,19.05,0.1
61,4,2,24.0,25.73,1.77
92,4,2,24.0,18.04,1.05
122,4,2,24.0,20.88,0.64
153,4,2,24.0,21.57,1.18
183,4,2,24.0,21.36,0.15
214,4,2,24.0,24.81,0.23
245,4,2,24.0,19.96,0.81
275,4,2,24.0,25.6,0.73
306,4,2,24.0,23.53,0.33
336,4,2,24.0,24.5,1.36
367,4,2,24.0,20.38,0.28
398,4,2,24.0,23.74,0.14
426,4,2,24.0,22.73,0.26
457,4,2,24.0,20.57,0.12
487,4,2,24.0,20.56,1.16
518,4,2,24.0,19.75,0.76
548,4,2,24.0,25.45,0.55
579,4,2,24.0,23.74,2.41
610,4,2,24.0,18.96,0.52
640,4,2,24.0,23.9,0.69
671,4,2,24.0,19.06,0.48
701,4,2,24.0,18.73,0.9
1,4,3,24.0,22.67,0.2
32,4,3,24.0,21.02,0.5
61,4,3,24.0,25.84,0.42
92,4,3,24.0,23.57,0.1
122,4,3,24.0,24.82,0.27
