time_key,date_id,year,quarter,month,month_name,day,day_of_week
77,2024-03-17,2024,1,3,March,17,Sunday
78,2024-03-18,2024,1,3,March,18,Monday
79,2024-03-19,2024,1,3,March,19,Tuesday
80,2024-03-20,2024,1,3,March,20,Wednesday
81,2024-03-21,2024,1,3,March,21,Thursday
82,2024-03-22,2024,1,3,March,22,Friday
83,2024-03-23,2024,1,3,March,23,Saturday
84,2024-03-24,2024,1,3,March,24,Sunday
85,2024-03-25,2024,1,3,March,25,Monday
86,2024-03-26,2024,1,3,March,26,Tuesday
87,2024-03-27,2024,1,3,March,27,Wednesday
88,2024-03-28,2024,1,3,March,28,Thursday
89,2024-03-29,2024,1,3,March,29,Friday
90,2024-03-30,2024,1,3,March,30,Saturday
91,2024-03-31,2024,1,3,March,31,Sunday
92,2024-04-01,2024,2,4,April,1,Monday
93,2024-04-02,2024,2,4,April,2,Tuesday
94,2024-04-03,2024,2,4,April,3,Wednesday
95,2024-04-04,2024,2,4,April,4,Thursday
96,2024-04-05,2024,2,4,April,5,Friday
97,2024-04-06,2024,2,4,April,6,Saturday
98,2024-04-07,2024,2,4,April,7,Sunday
99,2024-04-08,2024,2,4,April,8,Monday
100,2024-04-09,2024,2,4,April,9,Tuesday
101,2024-04-10,2024,2,4,April,10,Wednesday
102,2024-04-11,2024,2,4,April,11,Thursday
103,2024-04-12,2024,2,4,April,12,Friday
104,2024-04-13,2024,2,4,April,13,Saturday
105,2024-04-14,2024,2,4,April,14,Sunday
106,2024-04-15,2024,2,4,April,15,Monday
107,2024-04-16,2024,2,4,April,16,Tuesday
108,2024-04-17,2024,2,4,April,17,Wednesday
109,2024-04-18,2024,2,4,April,18,Thursday
110,2024-04-19,2024,2,4,April,19,Friday
111,2024-04-20,2024,2,4,April,20,Saturday
112,2024-04-21,2024,2,4,April,21,Sunday
113,2024-04-22,2024,2,4,April,22,Monday
114,2024-04-23,2024,2,4,April,23,Tuesday
115,2024-04-24,2024,2,4,April,24,Wednesday
116,2024-04-25,2024,2,4,April,25,Thursday
117,2024-04-26,2024,2,4,April,26,Friday
118,2024-04-27,2024,2,4,April,27,Saturday
119,2024-04-28,2024,2,4,April,28,Sunday
120,2024-04-29,2024,2,4,April,29,Monday
121,2024-04-30,2024,2,4,April,30,Tuesday
122,2024-05-01,2024,2,5,May,1,Wednesday
123,2024-05-02,2024,2,5,May,2,Thursday
124,2024-05-03,2024,2,5,May,3,Friday
125,2024-05-04,2024,2,5,May,4,Saturday
126,2024-05-05,2024,2,5,May,5,Sunday
127,2024-05-06,2024,2,5,May,6,Monday
128,2024-05-07,2024,2,5,May,7,Tuesday
129,2024-05-08,2024,2,5,May,8,Wednesday
130,2024-05-09,2024,2,5,May,9,Thursday
131,2024-05-10,2024,2,5,May,10,Friday
132,2024-05-11,2024,2,5,May,11,Saturday
133,2024-05-12,2024,2,5,May,12,Sunday
134,2024-05-13,2024,2,5,May,13,Monday
135,2024-05-14,2024,2,5,May,14,Tuesday
136,2024-05-15,2024,2,5,May,15,Wednesday
137,2024-05-16,2024,2,5,May,16,Thursday
138,2024-05-17,2024,2,5,May,17,Friday
139,2024-05-18,2024,2,5,May,18,Saturday
140,2024-05-19,2024,2,5,May,19,Sunday
141,2024-05-20,2024,2,5,May,20,Monday
142,2024-05-21,2024,2,5,May,21,Tuesday
143,2024-05-22,2024,2,5,May,22,Wednesday
144,2024-05-23,2024,2,5,May,23,Thursday
145,2024-05-24,2024,2,5,May,24,Friday
146,2024-05-25,2024,2,5,May,25,Saturday
147,2024-05-26,2024,2,5,May,26,Sunday
148,2024-05-27,2024,2,5,May,27,Monday
149,2024-05-28,2024,2,5,May,28,Tuesday
150,2024-05-29,2024,2,5,May,29,Wednesday
151,2024-05-30,2024,2,5,May,30,Thursday
152,2024-05-31,2024,2,5,May,31,Friday
153,2024-06-01,2024,2,6,June,1,Saturday
154,2024-06-02,2024,2,6,June,2,Sunday
155,2024-06-03,2024,2,6,June,3,Monday
156,2024-06-04,2024,2,6,June,4,Tuesday
157,2024-06-05,2024,2,6,June,5,Wednesday
158,2024-06-06,2024,2,6,June,6,Thursday
159,2024-06-07,2024,2,6,June,7,Friday
160,2024-06-08,2024,2,6,June,8,Saturday
161,2024-06-09,2024,2,6,June,9,Sunday
162,2024-06-10,2024,2,6,June,10,Monday
163,2024-06-11,2024,2,6,June,11,Tuesday
164,2024-06-12,2024,2,6,June,12,Wednesday
165,2024-06-13,2024,2,6,June,13,Thursday
166,2024-06-14,2024,2,6,June,14,Friday
167,2024-06-15,2024,2,6,June,15,Saturday
168,2024-06-16,2024,2,6,June,16,Sunday
169,2024-06-17,2024,2,6,June,17,Monday
170,2024-06-18,2024,2,6,June,18,Tuesday
171,2024-06-19,2024,2,6,June,19,Wednesday
172,2024-06-20,2024,2,6,June,20,Thursday
173,2024-06-21,2024,2,6,June,21,Friday
174,2024-06-22,2024,2,6,June,22,Saturday
175,2024-06-23,2024,2,6,June,23,Sunday
176,2024-06-24,2024,2,6,June,24,Monday
177,2024-06-25,2024,2,6,June,25,Tuesday
178,2024-06-26,2024,2,6,June,26,Wednesday
179,2024-06-27,2024,2,6,June,27,Thursday
180,2024-06-28,2024,2,6,June,28,Friday
181,2024-06-29,2024,2,6,June,29,Saturday
182,2024-06-30,2024,2,6,June,30,Sunday
183,2024-07-01,2024,3,7,July,1,Monday
184,2024-07-02,2024,3,7,July,2,Tuesday
185,2024-07-03,2024,3,7,July,3,Wednesday
186,2024-07-04,2024,3,7,July,4,Thursday
187,2024-07-05,2024,3,7,July,5,Friday
188,2024-07-06,2024,3,7,July,6,Saturday
189,2024-07-07,2024,3,7,July,7,Sunday
190,2024-07-08,2024,3,7,July,8,Monday
191,2024-07-09,2024,3,7,July,9,Tuesday
192,2024-07-10,2024,3,7,July,10,Wednesday
193,2024-07-11,2024,3,7,July,11,Thursday
194,2024-07-12,2024,3,7,July,12,Friday
195,2024-07-13,2024,3,7,July,13,Saturday
196,2024-07-14,2024,3,7,July,14,Sunday
197,2024-07-15,2024,3,7,July,15,Monday
198,2024-07-16,2024,3,7,July,16,Tuesday
199,2024-07-17,2024,3,7,July,17,Wednesday
200,2024-07-18,2024,3,7,July,18,Thursday
201,2024-07-19,2024,3,7,July,19,Friday
202,2024-07-20,2024,3,7,July,20,Saturday
203,2024-07-21,2024,3,7,July,21,Sunday
204,2024-07-22,2024,3,7,July,22,Monday
205,2024-07-23,2024,3,7,July,23,Tuesday
206,2024-07-24,2024,3,7,July,24,Wednesday
207,2024-07-25,2024,3,7,July,25,Thursday
208,2024-07-26,2024,3,7,July,26,Friday
209,2024-07-27,2024,3,7,July,27,Saturday
210,2024-07-28,2024,3,7,July,28,Sunday
211,2024-07-29,2024,3,7,July,29,Monday
212,2024-07-30,2024,3,7,July,30,Tuesday
213,2024-07-31,2024,3,7,July,31,Wednesday
214,2024-08-01,2024,3,8,August,1,Thursday
215,2024-08-02,2024,3,8,August,2,Friday
216,2024-08-03,2024,3,8,August,3,Saturday
217,2024-08-04,2024,3,8,August,4,Sunday
218,2024-08-05,2024,3,8,August,5,Monday
219,2024-08-06,2024,3,8,August,6,Tuesday
220,2024-08-07,2024,3,8,August,7,Wednesday
221,2024-08-08,2024,3,8,August,8,Thursday
222,2024-08-09,2024,3,8,August,9,Friday
223,2024-08-10,2024,3,8,August,10,Saturday
224,2024-08-11,2024,3,8,August,11,Sunday
225,2024-08-12,2024,3,8,August,12,Monday
226,2024-08-13,2024,3,8,August,13,Tuesday
227,2024-08-14,2024,3,8,August,14,Wednesday
228,2024-08-15,2024,3,8,August,15,Thursday
229,2024-08-16,2024,3,8,August,16,Friday
230,2024-08-17,2024,3,8,August,17,Saturday
231,2024-08-18,2024,3,8,August,18,Sunday
232,2024-08-19,2024,3,8,August,19,Monday
233,2024-08-20,2024,3,8,August,20,Tuesday
234,2024-08-21,2024,3,8,August,21,Wednesday
235,2024-08-22,2024,3,8,August,22,Thursday
236,2024-08-23,2024,3,8,August,23,Friday
237,2024-08-24,2024,3,8,August,24,Saturday
238,2024-08-25,2024,3,8,August,25,Sunday
239,2024-08-26,2024,3,8,August,26,Monday
240,2024-08-27,2024,3,8,August,27,Tuesday
241,2024-08-28,2024,3,8,August,28,Wednesday
242,2024-08-29,2024,3,8,August,29,Thursday
243,2024-08-30,2024,3,8,August,30,Friday
244,2024-08-31,2024,3,8,August,31,Saturday
245,2024-09-01,2024,3,9,September,1,Sunday
246,2024-09-02,2024,3,9,September,2,Monday
247,2024-09-03,2024,3,9,September,3,Tuesday
248,2024-09-04,2024,3,9,September,4,Wednesday
249,2024-09-05,2024,3,9,September,5,Thursday
250,2024-09-06,2024,3,9,September,6,Friday
251,2024-09-07,2024,3,9,September,7,Saturday
252,2024-09-08,2024,3,9,September,8,Sunday
253,2024-09-09,2024,3,9,September,9,Monday
254,2024-09-10,2024,3,9,September,10,Tuesday
255,2024-09-11,2024,3,9,September,11,Wednesday
256,2024-09-12,2024,3,9,September,12,Thursday
257,2024-09-13,2024,3,9,September,13,Friday
258,2024-09-14,2024,3,9,September,14,Saturday
259,2024-09-15,2024,3,9,September,15,Sunday
260,2024-09-16,2024,3,9,September,16,Monday
261,2024-09-17,2024,3,9,September,17,Tuesday
262,2024-09-18,2024,3,9,September,18,Wednesday
263,2024-09-19,2024,3,9,September,19,Thursday
264,2024-09-20,2024,3,9,September,20,Friday
265,2024-09-21,2024,3,9,September,21,Saturday
266,2024-09-22,2024,3,9,September,22,Sunday
267,2024-09-23,2024,3,9,September,23,Monday
268,2024-09-24,2024,3,9,September,24,Tuesday
269,2024-09-25,2024,3,9,September,25,Wednesday
270,2024-09-26,2024,3,9,September,26,Thursday
271,2024-09-27,2024,3,9,September,27,Friday
272,2024-09-28,2024,3,9,September,28,Saturday
273,2024-09-29,2024,3,9,September,29,Sunday
274,2024-09-30,2024,3,9,September,30,Monday
275,2024-10-01,2024,4,10,October,1,Tuesday
276,2024-10-02,2024,4,10,October,2,Wednesday
277,2024-10-03,2024,4,10,October,3,Thursday
278,2024-10-04,2024,4,10,October,4,Friday
279,2024-10-05,2024,4,10,October,5,Saturday
280,2024-10-06,2024,4,10,October,6,Sunday
281,2024-10-07,2024,4,10,October,7,Monday
282,2024-10-08,2024,4,10,October,8,Tuesday
283,2024-10-09,2024,4,10,October,9,Wednesday
284,2024-10-10,2024,4,10,October,10,Thursday
285,2024-10-11,2024,4,10,October,11,Friday
286,2024-10-12,2024,4,10,October,12,Saturday
287,2024-10-13,2024,4,10,October,13,Sunday
288,2024-10-14,2024,4,10,October,14,Monday
289,2024-10-15,2024,4,10,October,15,Tuesday
290,2024-10-16,2024,4,10,October,16,Wednesday
291,2024-10-17,2024,4,10,October,17,Thursday
292,2024-10-18,2024,4,10,October,18,Friday
293,2024-10-19,2024,4,10,October,19,Saturday
294,2024-10-20,2024,4,10,October,20,Sunday
295,2024-10-21,2024,4,10,October,21,Monday
296,2024-10-22,2024,4,10,October,22,Tuesday
297,2024-10-23,2024,4,10,October,23,Wednesday
298,2024-10-24,2024,4,10,October,24,Thursday
299,2024-10-25,2024,4,10,October,25,Friday
300,2024-10-26,2024,4,10,October,26,Saturday
301,2024-10-27,2024,4,10,October,27,Sunday
302,2024-10-28,2024,4,10,October,28,Monday
303,2024-10-29,2024,4,10,October,29,Tuesday
304,2024-10-30,2024,4,10,October,30,Wednesday
305,2024-10-31,2024,4,10,October,31,Thursday
306,2024-11-01,2024,4,11,November,1,Friday
307,2024-11-02,2024,4,11,November,2,Saturday
308,2024-11-03,2024,4,11,November,3,Sunday
309,2024-11-04,2024,4,11,November,4,Monday
310,2024-11-05,2024,4,11,November,5,Tuesday
311,2024-11-06,2024,4,11,November,6,Wednesday
312,2024-11-07,2024,4,11,November,7,Thursday
313,2024-11-08,2024,4,11,November,8,Friday
314,2024-11-09,2024,4,11,November,9,Saturday
315,2024-11-10,2024,4,11,November,10,Sunday
316,2024-11-11,2024,4,11,November,11,Monday
317,2024-11-12,2024,4,11,November,12,Tuesday
318,2024-11-13,2024,4,11,November,13,Wednesday
319,2024-11-14,2024,4,11,November,14,Thursday
320,2024-11-15,2024,4,11,November,15,Friday
321,2024-11-16,2024,4,11,November,16,Saturday
322,2024-11-17,2024,4,11,November,17,Sunday
323,2024-11-18,2024,4,11,November,18,Monday
324,2024-11-19,2024,4,11,November,19,Tuesday
325,2024-11-20,2024,4,11,November,20,Wednesday
326,2024-11-21,2024,4,11,November,21,Thursday
327,2024-11-22,2024,4,11,November,22,Friday
328,2024-11-23,2024,4,11,November,23,Saturday
329,2024-11-24,2024,4,11,November,24,Sunday
330,2024-11-25,2024,4,11,November,25,Monday
331,2024-11-26,2024,4,11,November,26,Tuesday
332,2024-11-27,2024,4,11,November,27,Wednesday
333,2024-11-28,2024,4,11,November,28,Thursday
334,2024-11-29,2024,4,11,November,29,Friday
335,2024-11-30,2024,4,11,November,30,Saturday
336,2024-12-01,2024,4,12,December,1,Sunday
337,2024-12-02,2024,4,12,December,2,Monday
338,2024-12-03,2024,4,12,December,3,Tuesday
339,2024-12-04,2024,4,12,December,4,Wednesday
340,2024-12-05,2024,4,12,December,5,Thursday
341,2024-12-06,2024,4,12,December,6,Friday
342,2024-12-07,2024,4,12,December,7,Saturday
343,2024-12-08,2024,4,12,December,8,Sunday
344,2024-12-09,2024,4,12,December,9,Monday
345,2024-12-10,2024,4,12,December,10,Tuesday
346,2024-12-11,2024,4,12,December,11,Wednesday
347,2024-12-12,2024,4,12,December,12,Thursday
348,2024-12-13,2024,4,12,December,13,Friday
349,2024-12-14,2024,4,12,December,14,Saturday
350,2024-12-15,2024,4,12,December,15,Sunday
351,2024-12-16,2024,4,12,December,16,Monday
352,2024-12-17,2024,4,12,December,17,Tuesday
353,2024-12-18,2024,4,12,December,18,Wednesday
354,2024-12-19,2024,4,12,December,19,Thursday
355,2024-12-20,2024,4,12,December,20,Friday
356,2024-12-21,2024,4,12,December,21,Saturday
357,2024-12-22,2024,4,12,December,22,Sunday
358,2024-12-23,2024,4,12,December,23,Monday
359,2024-12-24,2024,4,12,December,24,Tuesday
360,2024-12-25,2024,4,12,December,25,Wednesday
361,2024-12-26,2024,4,12,December,26,Thursday
362,2024-12-27,2024,4,12,December,27,Friday
363,2024-12-28,2024,4,12,December,28,Saturday
364,2024-12-29,2024,4,12,December,29,Sunday
365,2024-12-30,2024,4,12,December,30,Monday
366,2024-12-31,2024,4,12,December,31,Tuesday
367,2025-01-01,2025,1,1,January,1,Wednesday
368,2025-01-02,2025,1,1,January,2,Thursday
369,2025-01-03,2025,1,1,January,3,Friday
370,2025-01-04,2025,1,1,January,4,Saturday
371,2025-01-05,2025,1,1,January,5,Sunday
372,2025-01-06,2025,1,1,January,6,Monday
373,2025-01-07,2025,1,1,January,7,Tuesday
374,2025-01-08,2025,1,1,January,8,Wednesday
375,2025-01-09,2025,1,1,January,9,Thursday
376,2025-01-10,2025,1,1,January,10,Friday
377,2025-01-11,2025,1,1,January,11,Saturday
378,2025-01-12,2025,1,1,January,12,Sunday
379,2025-01-13,2025,1,1,January,13,Monday
380,2025-01-14,2025,1,1,January,14,Tuesday
381,2025-01-15,2025,1,1,January,15,Wednesday
382,2025-01-16,2025,1,1,January,16,Thursday
383,2025-01-17,2025,1,1,January,17,Friday
384,2025-01-18,2025,1,1,January,18,Saturday
385,2025-01-19,2025,1,1,January,19,Sunday
386,2025-01-20,2025,1,1,January,20,Monday
387,2025-01-21,2025,1,1,January,21,Tuesday
388,2025-01-22,2025,1,1,January,22,Wednesday
389,2025-01-23,2025,1,1,January,23,Thursday
390,2025-01-24,2025,1,1,January,24,Friday
391,2025-01-25,2025,1,1,January,25,Saturday
392,2025-01-26,2025,1,1,January,26,Sunday
393,2025-01-27,2025,1,1,January,27,Monday
394,2025-01-28,2025,1,1,January,28,Tuesday
395,2025-01-29,2025,1,1,January,29,Wednesday
396,2025-01-30,2025,1,1,January,30,Thursday
397,2025-01-31,2025,1,1,January,31,Friday
398,2025-02-01,2025,1,2,February,1,Saturday
399,2025-02-02,2025,1,2,February,2,Sunday
400,2025-02-03,2025,1,2,February,3,Monday
401,2025-02-04,2025,1,2,February,4,Tuesday
402,2025-02-05,2025,1,2,February,5,Wednesday
403,2025-02-06,2025,1,2,February,6,Thursday
404,2025-02-07,2025,1,2,February,7,Friday
405,2025-02-08,2025,1,2,February,8,Saturday
406,2025-02-09,2025,1,2,February,9,Sunday
407,2025-02-10,2025,1,2,February,10,Monday
408,2025-02-11,2025,1,2,February,11,Tuesday
409,2025-02-12,2025,1,2,February,12,Wednesday
410,2025-02-13,2025,1,2,February,13,Thursday
411,2025-02-14,2025,1,2,February,14,Friday
412,2025-02-15,2025,1,2,February,15,Saturday
413,2025-02-16,2025,1,2,February,16,Sunday
414,2025-02-17,2025,1,2,February,17,Monday
415,2025-02-18,2025,1,2,February,18,Tuesday
416,2025-02-19,2025,1,2,February,19,Wednesday
417,2025-02-20,2025,1,2,February,20,Thursday
418,2025-02-21,2025,1,2,February,21,Friday
419,2025-02-22,2025,1,2,February,22,Saturday
420,2025-02-23,2025,1,2,February,23,Sunday
421,2025-02-24,2025,1,2,February,24,Monday
422,2025-02-25,2025,1,2,February,25,Tuesday
423,2025-02-26,2025,1,2,February,26,Wednesday
424,2025-02-27,2025,1,2,February,27,Thursday
425,2025-02-28,2025,1,2,February,28,Friday
426,2025-03-01,2025,1,3,March,1,Saturday
427,2025-03-02,2025,1,3,March,2,Sunday
428,2025-03-03,2025,1,3,March,3,Monday
429,2025-03-04,2025,1,3,March,4,Tuesday
430,2025-03-05,2025,1,3,March,5,Wednesday
431,2025-03-06,2025,1,3,March,6,Thursday
432,2025-03-07,2025,1,3,March,7,Friday
433,2025-03-08,2025,1,3,March,8,Saturday
434,2025-03-09,2025,1,3,March,9,Sunday
435,2025-03-10,2025,1,3,March,10,Monday
436,2025-03-11,2025,1,3,March,11,Tuesday
437,2025-03-12,2025,1,3,March,12,Wednesday
438,2025-03-13,2025,1,3,March,13,Thursday
439,2025-03-14,2025,1,3,March,14,Friday
440,2025-03-15,2025,1,3,March,15,Saturday
441,2025-03-16,2025,1,3,March,16,Sunday
442,2025-03-17,2025,1,3,March,17,Monday
443,2025-03-18,2025,1,3,March,18,Tuesday
444,2025-03-19,2025,1,3,March,19,Wednesday
445,2025-03-20,2025,1,3,March,20,Thursday
446,2025-03-21,2025,1,3,March,21,Friday
447,2025-03-22,2025,1,3,March,22,Saturday
448,2025-03-23,2025,1,3,March,23,Sunday
449,2025-03-24,2025,1,3,March,24,Monday
450,2025-03-25,2025,1,3,March,25,Tuesday
451,2025-03-26,2025,1,3,March,26,Wednesday
452,2025-03-27,2025,1,3,March,27,Thursday
453,2025-03-28,2025,1,3,March,28,Friday
454,2025-03-29,2025,1,3,March,29,Saturday
455,2025-03-30,2025,1,3,March,30,Sunday
456,2025-03-31,2025,1,3,March,31,Monday
457,2025-04-01,2025,2,4,April,1,Tuesday
458,2025-04-02,2025,2,4,April,2,Wednesday
459,2025-04-03,2025,2,4,April,3,Thursday
460,2025-04-04,2025,2,4,April,4,Friday
461,2025-04-05,2025,2,4,April,5,Saturday
462,2025-04-06,2025,2,4,April,6,Sunday
463,2025-04-07,2025,2,4,April,7,Monday
464,2025-04-08,2025,2,4,April,8,Tuesday
465,2025-04-09,2025,2,4,April,9,Wednesday
466,2025-04-10,2025,2,4,April,10,Thursday
467,2025-04-11,2025,2,4,April,11,Friday
468,2025-04-12,2025,2,4,April,12,Saturday
469,2025-04-13,2025,2,4,April,13,Sunday
470,2025-04-14,2025,2,4,April,14,Monday
471,2025-04-15,2025,2,4,April,15,Tuesday
472,2025-04-16,2025,2,4,April,16,Wednesday
473,2025-04-17,2025,2,4,April,17,Thursday
474,2025-04-18,2025,2,4,April,18,Friday
475,2025-04-19,2025,2,4,April,19,Saturday
476,2025-04-20,2025,2,4,April,20,Sunday
477,2025-04-21,2025,2,4,April,21,Monday
478,2025-04-22,2025,2,4,April,22,Tuesday
479,2025-04-23,2025,2,4,April,23,Wednesday
480,2025-04-24,2025,2,4,April,24,Thursday
481,2025-04-25,2025,2,4,April,25,Friday
482,2025-04-26,2025,2,4,April,26,Saturday
483,2025-04-27,2025,2,4,April,27,Sunday
484,2025-04-28,2025,2,4,April,28,Monday
485,2025-04-29,2025,2,4,April,29,Tuesday
486,2025-04-30,2025,2,4,April,30,Wednesday
487,2025-05-01,2025,2,5,May,1,Thursday
488,2025-05-02,2025,2,5,May,2,Friday
489,2025-05-03,2025,2,5,May,3,Saturday
490,2025-05-04,2025,2,5,May,4,Sunday
491,2025-05-05,2025,2,5,May,5,Monday
492,2025-05-06,2025,2,5,May,6,Tuesday
493,2025-05-07,2025,2,5,May,7,Wednesday
494,2025-05-08,2025,2,5,May,8,Thursday
495,2025-05-09,2025,2,5,May,9,Friday
496,2025-05-10,2025,2,5,May,10,Saturday
497,2025-05-11,2025,2,5,May,11,Sunday
498,2025-05-12,2025,2,5,May,12,Monday
499,2025-05-13,2025,2,5,May,13,Tuesday
500,2025-05-14,2025,2,5,May,14,Wednesday
501,2025-05-15,2025,2,5,May,15,Thursday
502,2025-05-16,2025,2,5,May,16,Friday
503,2025-05-17,2025,2,5,May,17,Saturday
504,2025-05-18,2025,2,5,May,18,Sunday
505,2025-05-19,2025,2,5,May,19,Monday
506,2025-05-20,2025,2,5,May,20,Tuesday
507,2025-05-21,2025,2,5,May,21,Wednesday
508,2025-05-22,2025,2,5,May,22,Thursday
509,2025-05-23,2025,2,5,May,23,Friday
510,2025-05-24,2025,2,5,May,24,Saturday
511,2025-05-25,2025,2,5,May,25,Sunday
512,2025-05-26,2025,2,5,May,26,Monday
513,2025-05-27,2025,2,5,May,27,Tuesday
514,2025-05-28,2025,2,5,May,28,Wednesday
515,2025-05-29,2025,2,5,May,29,Thursday
516,2025-05-30,2025,2,5,May,30,Friday
517,2025-05-31,2025,2,5,May,31,Saturday
518,2025-06-01,2025,2,6,June,1,Sunday
519,2025-06-02,2025,2,6,June,2,Monday
520,2025-06-03,2025,2,6,June,3,Tuesday
521,2025-06-04,2025,2,6,June,4,Wednesday
522,2025-06-05,2025,2,6,June,5,Thursday
523,2025-06-06,2025,2,6,June,6,Friday
524,2025-06-07,2025,2,6,June,7,Saturday
525,2025-06-08,2025,2,6,June,8,Sunday
526,2025-06-09,2025,2,6,June,9,Monday
527,2025-06-10,2025,2,6,June,10,Tuesday
528,2025-06-11,2025,2,6,June,11,Wednesday
529,2025-06-12,2025,2,6,June,12,Thursday
530,2025-06-13,2025,2,6,June,13,Friday
531,2025-06-14,2025,2,6,June,14,Saturday
532,2025-06-15,2025,2,6,June,15,Sunday
533,2025-06-16,2025,2,6,June,16,Monday
534,2025-06-17,2025,2,6,June,17,Tuesday
535,2025-06-18,2025,2,6,June,18,Wednesday
536,2025-06-19,2025,2,6,June,19,Thursday
537,2025-06-20,2025,2,6,June,20,Friday
538,2025-06-21,2025,2,6,June,21,Saturday
539,2025-06-22,2025,2,6,June,22,Sunday
540,2025-06-23,2025,2,6,June,23,Monday
541,2025-06-24,2025,2,6,June,24,Tuesday
542,2025-06-25,2025,2,6,June,25,Wednesday
543,2025-06-26,2025,2,6,June,26,Thursday
544,2025-06-27,2025,2,6,June,27,Friday
545,2025-06-28,2025,2,6,June,28,Saturday
546,2025-06-29,2025,2,6,June,29,Sunday
547,2025-06-30,2025,2,6,June,30,Monday
548,2025-07-01,2025,3,7,July,1,Tuesday
549,2025-07-02,2025,3,7,July,2,Wednesday
550,2025-07-03,2025,3,7,July,3,Thursday
551,2025-07-04,2025,3,7,July,4,Friday
552,2025-07-05,2025,3,7,July,5,Saturday
553,2025-07-06,2025,3,7,July,6,Sunday
554,2025-07-07,2025,3,7,July,7,Monday
555,2025-07-08,2025,3,7,July,8,Tuesday
556,2025-07-09,2025,3,7,July,9,Wednesday
557,2025-07-10,2025,3,7,July,10,Thursday
