asset_key,asset_id,system_key,team_key,purchase_date,lifecycle,utilisation
81,ASSET_BB498754,6,3,2021-05-19,Midlife,87.23
82,ASSET_39EDD023,50,10,2025-11-27,End-of-life,71.34
83,ASSET_DDAE9744,15,3,2024-04-29,End-of-life,38.46
84,ASSET_2DA744D4,20,3,2024-08-16,New,49.16
85,ASSET_1C413BB3,38,9,2023-03-04,End-of-life,64.76
86,ASSET_317DC9DF,3,6,2021-12-11,End-of-life,58.93
87,ASSET_0C724D73,22,4,2023-05-27,End-of-life,63.99
88,ASSET_0816EB46,39,4,2021-12-01,End-of-life,81.92
89,ASSET_CE64F2D0,40,3,2024-11-11,End-of-life,42.86
90,ASSET_F8889666,45,2,2022-02-23,Midlife,92.76
91,ASSET_FCA76512,10,8,2024-01-26,End-of-life,38.52
92,ASSET_5F31417A,19,7,2023-09-26,Midlife,50.17
93,ASSET_B1C647C2,7,2,2023-07-29,Midlife,69.86
94,ASSET_B025CBB9,48,8,2023-06-04,Midlife,63.33
95,ASSET_84B774DA,48,1,2023-03-14,Midlife,94.14
96,ASSET_031D1C21,12,9,2022-06-15,New,66.87
97,ASSET_8422E208,9,9,2025-06-18,New,66.83
98,ASSET_09A1BDA4,43,1,2023-04-12,Midlife,70.05
99,ASSET_5FCBAF48,5,10,2023-09-06,New,37.79
100,ASSET_5A0B522C,34,1,2024-03-05,New,65.52
101,ASSET_2F5BF96A,43,7,2022-10-15,Midlife,79.2
102,ASSET_E5BD2C54,7,1,2026-01-03,New,58.99
103,ASSET_A058E594,47,10,2021-08-29,Midlife,44.67
104,ASSET_4678BF20,23,10,2025-04-28,New,85.18
105,ASSET_BAC40BD7,33,7,2021-05-30,New,93.0
106,ASSET_3C05C8C6,14,3,2024-07-28,Midlife,88.62
107,ASSET_743D07E6,42,7,2023-02-01,End-of-life,45.11
108,ASSET_F8155154,31,3,2021-09-13,End-of-life,55.22
109,ASSET_091BA878,2,8,2022-10-11,New,49.59
110,ASSET_A5931753,29,9,2021-10-13,End-of-life,34.26
111,ASSET_F5501E20,41,7,2020-08-26,Midlife,68.59
112,ASSET_F851647E,36,8,2025-05-31,Midlife,33.36
113,ASSET_2FB1D948,35,2,2022-07-13,End-of-life,71.33
114,ASSET_9B022461,9,2,2021-07-04,End-of-life,30.62
115,ASSET_FDDE2478,29,8,2024-07-29,Midlife,40.92
116,ASSET_D1760DF5,32,4,2023-08-15,End-of-life,46.98
117,ASSET_2D9F7F84,29,4,2023-07-07,End-of-life,34.98
118,ASSET_459521FB,17,6,2022-04-07,New,68.15
119,ASSET_4151088C,48,7,2022-08-03,End-of-life,56.75
120,ASSET_DA710BD0,30,4,2023-09-01,End-of-life,30.61
121,ASSET_1C6D78DE,1,7,2025-09-21,End-of-life,47.5
122,ASSET_A3522788,31,9,2020-08-26,Midlife,60.25
123,ASSET_0C03FDB1,17,8,2022-01-27,Midlife,78.04
124,ASSET_53192C41,19,1,2025-03-05,End-of-life,31.36
125,ASSET_A19AB8B9,45,5,2022-06-25,Midlife,43.76
126,ASSET_97224A96,47,5,2022-02-12,End-of-life,86.88
127,ASSET_5596654D,44,7,2023-05-01,Midlife,75.16
128,ASSET_1B7667E3,11,10,2023-12-31,End-of-life,86.45
129,ASSET_796919DF,19,1,2020-12-16,End-of-life,67.54
130,ASSET_17E5AE4F,36,3,2025-12-28,New,56.94
131,ASSET_DC94F948,14,9,2023-07-12,End-of-life,83.7
132,ASSET_734D92BE,28,2,2024-12-30,New,62.94
133,ASSET_7E2DC543,3,1,2022-06-12,Midlife,91.59
134,ASSET_05040DCF,31,2,2025-09-04,New,43.5
135,ASSET_CEEA7F20,18,10,2025-12-26,Midlife,89.06
136,ASSET_FD2E871F,37,9,2021-06-28,End-of-life,47.01
137,ASSET_CEE8FF53,13,6,2020-11-08,Midlife,85.26
138,ASSET_EDBB25E6,36,7,2023-08-13,End-of-life,69.17
139,ASSET_1BE5121F,1,7,2020-09-26,End-of-life,86.03
140,ASSET_A6FBC874,49,7,2022-03-12,End-of-life,47.41
141,ASSET_9ED5D7EC,35,8,2021-07-17,End-of-life,77.77
142,ASSET_9B62216E,25,8,2025-08-19,New,79.76
143,ASSET_7B64B115,3,10,2023-07-05,Midlife,94.24
144,ASSET_B32A5377,2,7,2022-12-05,New,66.4
145,ASSET_A5EB7F91,34,6,2023-06-03,New,48.74
146,ASSET_D1CCD319,7,4,2023-05-23,Midlife,57.92
147,ASSET_3F425ED7,34,4,2026-01-06,New,69.51
148,ASSET_2535DB71,8,9,2022-08-06,Midlife,45.99
149,ASSET_6BBA6A0F,19,1,2022-01-24,New,71.73
150,ASSET_DCF33E69,42,10,2021-03-16,New,36.35
151,ASSET_5EA576D8,4,9,2020-09-16,New,38.93
152,ASSET_10E02B6A,28,2,2021-11-12,New,33.48
153,ASSET_B9934F26,50,7,2022-04-28,End-of-life,38.21
154,ASSET_F5E84795,31,1,2021-09-28,End-of-life,65.23
155,ASSET_C206D209,34,1,2025-11-20,New,87.59
156,ASSET_61A87EBD,46,9,2025-03-08,New,69.64
157,ASSET_0FC0779D,35,2,2023-08-16,Midlife,57.85
158,ASSET_FD6A51F7,12,6,2023-03-20,End-of-life,31.62
159,ASSET_FFFF4D97,31,10,2021-01-20,Midlife,79.19
160,ASSET_7C9C6ED2,49,4,2025-10-20,Midlife,59.79
161,ASSET_FFAF0378,48,2,2022-06-24,Midlife,94.82
162,ASSET_F9DF22E0,42,9,2026-01-12,New,80.29
163,ASSET_A5162982,29,7,2023-02-22,End-of-life,81.79
164,ASSET_2574579C,28,2,2025-11-06,Midlife,57.2
165,ASSET_E8ABF997,34,8,2023-11-24,Midlife,45.96
166,ASSET_D6A9D2A8,16,3,2024-06-28,End-of-life,31.38
167,ASSET_8E307199,42,1,2023-07-07,New,63.97
168,ASSET_497ABB5F,47,1,2023-12-11,New,48.73
169,ASSET_EF2FC741,45,2,2024-09-04,New,40.52
170,ASSET_52908F78,24,6,2025-06-18,New,59.83
171,ASSET_C1035633,32,5,2024-08-26,Midlife,65.8
172,ASSET_3B53C441,20,9,2021-06-27,New,85.44
173,ASSET_7EB50CB7,10,10,2022-06-03,Midlife,37.62
174,ASSET_C9E1E64E,45,9,2023-08-14,End-of-life,69.26
175,ASSET_B53A028E,48,8,2024-08-03,End-of-life,66.8
176,ASSET_04AC3A6E,5,1,2025-04-30,New,86.64
177,ASSET_7A5F09AB,24,3,2022-06-16,New,67.48
178,ASSET_53E0C7D3,50,9,2021-04-18,New,91.35
179,ASSET_3E89AA0E,33,7,2020-08-07,New,41.82
180,ASSET_4F4214DD,20,8,2023-12-29,End-of-life,42.88
181,ASSET_0E652FC2,20,9,2025-05-17,Midlife,42.75
182,ASSET_74037F03,16,8,2021-08-12,Midlife,44.25
183,ASSET_872BACB8,47,9,2025-09-23,Midlife,37.5
184,ASSET_EA288E57,37,2,2023-01-05,Midlife,60.5
185,ASSET_034B5310,41,6,2020-12-28,Midlife,72.85
186,ASSET_5C68F5A3,10,3,2024-10-19,Midlife,71.7
187,ASSET_C03F32DA,18,6,2022-12-14,End-of-life,91.75
188,ASSET_82978395,47,8,2023-01-28,New,42.41
189,ASSET_25660719,40,2,2021-10-03,New,40.7
190,ASSET_F1B19B59,14,10,2022-12-18,End-of-life,88.02
191,ASSET_6B993CA6,36,3,2022-06-08,New,76.43
192,ASSET_E0E62825,48,7,2025-04-26,Midlife,66.86
193,ASSET_E15BBF37,37,10,2022-05-18,Midlife,81.14
194,ASSET_473A0B86,33,4,2020-11-03,New,72.95
195,ASSET_01BB66AF,7,2,2022-10-01,Midlife,78.82
196,ASSET_318A9D56,47,5,2023-07-13,New,31.7
197,ASSET_6FE986FD,27,9,2024-01-09,New,72.38
198,ASSET_0FDF68AC,5,9,2024-04-28,New,59.62
199,ASSET_D5E5D3D3,9,1,2025-08-24,Midlife,90.13
200,ASSET_0D0FE976,3,8,2025-04-10,New,85.04
201,ASSET_88EFC504,14,5,2022-04-13,Midlife,51.94
202,ASSET_F5ED95A9,27,5,2023-09-07,End-of-life,38.42
203,ASSET_365964D3,42,3,2025-01-02,Midlife,59.99
204,ASSET_A4FD558E,13,4,2021-12-27,New,43.04
205,ASSET_7739DD76,39,10,2023-11-27,End-of-life,81.73
206,ASSET_30581982,42,4,2022-03-18,New,73.83
207,ASSET_3CDD4037,32,5,2023-09-10,End-of-life,31.48
208,ASSET_6793264C,26,9,2020-09-01,Midlife,53.15
209,ASSET_CDF3E4CF,29,8,2021-10-17,New,49.96
210,ASSET_64729286,2,1,2022-07-07,End-of-life,34.32
211,ASSET_388F13BF,26,2,2021-12-31,New,32.31
212,ASSET_D32D2C7F,28,7,2023-03-24,New,46.13
213,ASSET_0E0161BC,45,10,2020-12-22,Midlife,31.24
214,ASSET_898CE065,12,6,2025-12-13,End-of-life,67.99
215,ASSET_9F14E29C,24,4,2022-02-06,End-of-life,74.49
216,ASSET_E08BBE59,2,1,2023-05-23,New,86.71
217,ASSET_DE4A5E2F,21,10,2025-06-11,New,37.11
218,ASSET_74238BDD,27,9,2026-01-25,New,34.51
219,ASSET_B2447203,14,3,2025-08-12,End-of-life,91.71
220,ASSET_F9695AD0,33,7,2025-05-29,New,94.09
221,ASSET_50DC8877,29,2,2022-08-22,End-of-life,83.82
222,ASSET_F975BDD4,15,2,2023-01-20,End-of-life,37.98
223,ASSET_2B4276BF,25,8,2025-04-08,End-of-life,90.02
224,ASSET_DBE26472,4,7,2022-12-02,New,80.55
225,ASSET_0C5194CD,8,4,2021-07-24,New,71.02
226,ASSET_61305FBD,10,1,2023-09-05,End-of-life,60.44
227,ASSET_67AECEC8,49,10,2024-08-05,Midlife,46.18
228,ASSET_374EB891,11,5,2021-06-13,Midlife,61.87
229,ASSET_9EA1C221,17,2,2024-04-22,Midlife,46.39
230,ASSET_C714D4F5,26,8,2023-12-03,Midlife,84.72
231,ASSET_FF38C14C,33,6,2025-09-04,End-of-life,82.27
232,ASSET_99D0F417,32,1,2025-02-09,New,63.98
233,ASSET_2F496D54,19,6,2023-12-13,End-of-life,32.37
234,ASSET_DB23E003,36,6,2022-05-10,Midlife,71.84
235,ASSET_F647D8EF,38,7,2024-10-07,New,91.65
236,ASSET_04A3EB68,6,3,2021-01-04,End-of-life,30.89
237,ASSET_1E6E0E3E,7,3,2023-06-06,New,75.09
238,ASSET_0B6A6C59,16,10,2025-09-23,Midlife,84.69
239,ASSET_7691295E,16,9,2023-08-22,New,62.61
240,ASSET_A5B280D9,46,6,2024-10-07,Midlife,86.62
241,ASSET_2922481C,14,7,2021-12-18,New,65.43
242,ASSET_197B1A17,48,9,2024-03-28,New,68.73
243,ASSET_5235C285,46,5,2021-12-10,Midlife,90.74
244,ASSET_DA075272,20,7,2023-08-22,New,39.04
245,ASSET_DE54524A,20,4,2021-12-11,Midlife,73.19
246,ASSET_4C6A3B3E,2,1,2025-11-14,New,75.05
247,ASSET_3BE7C2CC,31,5,2022-03-10,End-of-life,33.96
248,ASSET_4B207A43,36,10,2020-08-17,Midlife,73.51
249,ASSET_AFBD81A8,4,9,2026-01-04,Midlife,53.33
250,ASSET_0ACB958D,15,9,2022-08-16,New,66.02
251,ASSET_D50612F0,32,10,2022-01-25,Midlife,59.43
252,ASSET_358B066A,44,6,2025-03-30,New,91.38
253,ASSET_3249A54A,9,7,2024-11-02,Midlife,72.63
254,ASSET_4FF06405,39,1,2023-08-10,End-of-life,39.51
255,ASSET_45F812B2,33,7,2025-10-23,Midlife,65.3
256,ASSET_2FF9E249,25,5,2020-08-29,End-of-life,74.84
257,ASSET_02C41E4B,33,7,2020-12-21,Midlife,43.33
258,ASSET_BDDC6AD6,50,6,2023-09-07,Midlife,31.45
259,ASSET_A0D6653F,41,5,2025-08-30,End-of-life,31.0
260,ASSET_4599D457,5,5,2023-02-07,New,75.77
261,ASSET_64997359,15,3,2023-09-23,Midlife,70.39
262,ASSET_EB483342,17,10,2022-06-30,Midlife,81.65
263,ASSET_2841BA4B,12,5,2024-02-12,Midlife,73.59
264,ASSET_43F1009F,5,7,2020-10-19,End-of-life,82.14
265,ASSET_15701C5C,16,10,2021-09-22,Midlife,93.98
266,ASSET_9370C978,33,7,2025-10-20,Midlife,72.14
267,ASSET_55FC5EF8,1,10,2025-11-23,Midlife,35.47
268,ASSET_07608CC9,14,9,2020-09-12,New,57.5
269,ASSET_6EBD4CED,13,5,2025-10-17,End-of-life,43.14
270,ASSET_1AA067CF,23,8,2025-07-31,New,89.4
271,ASSET_A160F804,1,8,2022-10-23,Midlife,75.01
272,ASSET_2C4D421E,29,4,2021-05-11,Midlife,61.8
273,ASSET_741ADE2B,47,2,2023-10-16,End-of-life,74.48
274,ASSET_536AB2E7,34,10,2025-10-03,Midlife,46.37
275,ASSET_026F4897,8,10,2022-04-22,Midlife,84.68
276,ASSET_D1B1FF0D,26,6,2023-05-16,End-of-life,80.86
277,ASSET_3213814F,16,1,2022-09-26,End-of-life,39.11
278,ASSET_FA479D85,43,8,2025-05-17,End-of-life,33.48
279,ASSET_C9D0970F,41,4,2023-09-03,End-of-life,81.3
280,ASSET_44869A80,42,5,2023-11-18,New,38.54
281,ASSET_64BF9FC8,6,6,2020-12-15,New,46.74
282,ASSET_6110A467,47,8,2021-01-27,New,58.55
283,ASSET_D928C1D9,39,2,2024-08-07,Midlife,68.94
284,ASSET_C914091D,36,5,2020-12-16,New,93.64
285,ASSET_FF151992,31,10,2023-07-26,New,61.89
286,ASSET_F385DF73,32,3,2023-08-23,New,47.84
287,ASSET_A2DEDB1B,22,1,2023-12-10,New,72.54
288,ASSET_553243F4,4,5,2025-07-27,End-of-life,57.85
289,ASSET_80F3D924,9,2,2020-11-25,End-of-life,69.58
290,ASSET_488AA9F9,45,6,2025-01-13,End-of-life,93.77
291,ASSET_E8C2C55B,34,3,2025-03-14,End-of-life,49.03
292,ASSET_0CA98910,34,8,2023-08-09,New,39.67
293,ASSET_A4A668A5,19,6,2023-08-15,Midlife,58.65
294,ASSET_7BC25EB5,48,8,2022-06-11,End-of-life,76.19
295,ASSET_13C53E8E,32,3,2021-06-13,Midlife,34.88
296,ASSET_EA56F6E6,17,6,2024-07-29,Midlife,74.53
297,ASSET_62972638,48,10,2020-11-01,New,70.95
298,ASSET_A3B0FA61,36,2,2020-10-28,New,83.2
299,ASSET_CE8763C9,19,7,2020-08-06,End-of-life,30.65
300,ASSET_23420B1D,49,10,2022-02-12,Midlife,72.97
301,ASSET_ED76D0E5,37,4,2022-12-11,End-of-life,78.03
302,ASSET_EC751C01,49,5,2023-01-13,Midlife,59.02
303,ASSET_E81A38F8,11,10,2025-08-20,End-of-life,52.16
304,ASSET_04A53ED8,6,6,2023-08-01,Midlife,92.92
305,ASSET_4A7F97C2,24,9,2022-12-07,End-of-life,50.7
306,ASSET_EB15C4DD,39,4,2024-03-26,End-of-life,35.22
307,ASSET_E0FE915D,7,8,2021-04-17,End-of-life,73.3
308,ASSET_F5BEF67A,40,4,2024-08-19,End-of-life,74.57
309,ASSET_7376ADD9,17,4,2024-03-29,Midlife,51.27
310,ASSET_FD8ADF45,12,4,2021-08-07,Midlife,89.45
311,ASSET_380B2204,46,9,2022-08-15,Midlife,89.36
312,ASSET_D9D66ADF,12,3,2023-01-26,New,68.9
313,ASSET_F877786A,49,2,2023-08-15,New,94.87
314,ASSET_37828E04,42,4,2023-07-09,New,93.66
315,ASSET_16B829F4,48,1,2021-05-06,End-of-life,62.52
316,ASSET_7CC86973,7,5,2020-10-08,Midlife,66.02
317,ASSET_28052610,24,7,2023-11-10,Midlife,34.09
318,ASSET_5C0AC78B,34,6,2025-10-14,End-of-life,53.65
319,ASSET_6489DC6B,24,7,2025-05-17,Midlife,75.5
320,ASSET_89CF6057,44,10,2021-04-14,End-of-life,31.2
321,ASSET_975D4E05,43,3,2021-03-07,End-of-life,59.79
322,ASSET_3997BEC0,38,2,2025-02-02,Midlife,72.72
323,ASSET_AA7FF96C,18,9,2023-02-09,New,78.39
324,ASSET_EBDFF1A3,4,6,2024-06-17,Midlife,51.52
325,ASSET_5D05707C,20,7,2024-05-22,New,57.66
326,ASSET_D3F7F42B,49,9,2021-07-24,New,92.88
327,ASSET_5FBB169B,31,6,2025-10-18,End-of-life,54.76
328,ASSET_6C10C87D,47,5,2020-08-16,New,84.59
329,ASSET_B9C8249F,19,7,2025-08-01,End-of-life,37.12
330,ASSET_15D3AD19,23,10,2021-05-13,New,45.98
331,ASSET_D2BA4385,29,4,2020-09-05,Midlife,87.56
332,ASSET_16118C51,47,6,2023-07-26,New,47.96
333,ASSET_CD74B70D,45,9,2023-09-27,New,43.59
334,ASSET_B19798BD,28,1,2021-09-21,Midlife,79.68
335,ASSET_1C6329E6,50,10,2025-12-14,Midlife,59.98
336,ASSET_A5279A27,2,5,2023-06-26,New,34.89
337,ASSET_0245B9AE,38,6,2023-12-05,End-of-life,56.56
338,ASSET_03D79C6C,33,5,2023-11-10,End-of-life,89.07
339,ASSET_CCF01371,22,8,2022-05-26,Midlife,79.86
340,ASSET_C3105B44,37,4,2021-05-03,End-of-life,80.36
341,ASSET_934C6600,10,1,2022-01-01,End-of-life,73.9
342,ASSET_6F96CAA4,20,10,2025-04-13,End-of-life,30.61
343,ASSET_C0E2D1DA,18,6,2025-07-03,End-of-life,83.76
344,ASSET_A7190449,17,9,2023-12-13,Midlife,66.55
345,ASSET_967C24D5,15,10,2023-12-05,End-of-life,33.9
346,ASSET_70F3FAE6,22,3,2022-12-09,New,47.74
347,ASSET_07C7645D,32,9,2021-08-27,Midlife,84.49
348,ASSET_DD2BB935,1,10,2025-11-21,New,91.45
349,ASSET_B0DD249A,32,3,2022-04-07,New,63.6
350,ASSET_3C935E1C,15,1,2021-08-08,New,47.35
351,ASSET_C14D2685,31,4,2020-10-13,New,37.29
352,ASSET_D22C5E21,23,3,2025-12-03,End-of-life,42.67
353,ASSET_09AC90A0,30,2,2021-02-24,New,87.93
354,ASSET_754926D9,8,3,2021-07-11,Midlife,85.26
355,ASSET_2CA12BE9,50,4,2021-04-09,New,66.28
356,ASSET_431D2BFD,25,8,2021-03-04,Midlife,66.78
357,ASSET_18597BEA,37,6,2024-01-25,New,54.79
358,ASSET_309B55F6,32,6,2025-03-19,New,71.46
359,ASSET_EFD820C8,30,4,2021-11-15,New,86.57
360,ASSET_A93BD07E,43,7,2024-05-09,Midlife,30.11
361,ASSET_59F0A388,44,5,2022-10-09,New,33.51
362,ASSET_BC1B2B15,36,7,2023-02-24,End-of-life,58.81
363,ASSET_03AC1B47,29,8,2025-07-06,Midlife,73.21
364,ASSET_FE5DED6D,8,2,2024-11-09,New,81.63
365,ASSET_D811B174,8,6,2022-08-22,End-of-life,47.43
366,ASSET_83947AFB,9,10,2020-11-18,New,34.36
367,ASSET_80A6209C,44,4,2024-07-29,New,55.46
368,ASSET_0E3A9DBA,23,8,2022-07-20,Midlife,93.55
369,ASSET_51CC9E88,50,7,2024-01-08,New,84.03
370,ASSET_776EA4BA,8,9,2021-12-23,Midlife,79.11
371,ASSET_47151DE2,47,9,2024-12-12,Midlife,74.53
372,ASSET_4175DE8C,2,6,2023-01-29,New,55.33
373,ASSET_B6F37A2C,23,8,2023-03-23,End-of-life,51.16
374,ASSET_4D33267C,45,8,2025-10-13,Midlife,46.8
375,ASSET_C5398B88,44,10,2025-01-20,Midlife,72.54
376,ASSET_5DC183FF,44,5,2024-04-13,New,64.58
377,ASSET_E17E3E58,33,8,2024-07-23,Midlife,35.15
378,ASSET_752DBC0F,43,6,2021-04-21,Midlife,45.27
379,ASSET_9917A248,27,6,2022-12-29,New,66.26
380,ASSET_80023FE8,21,2,2021-05-19,New,82.31
381,ASSET_9D23D3B1,38,9,2022-11-03,Midlife,52.85
382,ASSET_E63571A6,14,8,2024-12-12,Midlife,34.51
383,ASSET_13486E6A,13,4,2024-09-30,Midlife,68.25
384,ASSET_549E02DF,30,2,2023-04-19,Midlife,39.05
385,ASSET_2686C7EB,25,3,2023-08-31,End-of-life,72.44
386,ASSET_7856956D,39,10,2022-08-17,New,53.89
387,ASSET_DCAE872F,33,4,2025-04-29,Midlife,75.96
388,ASSET_7C8F5C9F,36,10,2025-08-17,New,87.54
389,ASSET_1093DCAE,28,4,2022-07-24,End-of-life,67.55
390,ASSET_ED292DB8,28,9,2022-06-12,Midlife,94.85
391,ASSET_DF05060A,9,3,2022-04-05,End-of-life,90.17
392,ASSET_4FADB861,40,6,2023-09-17,Midlife,60.54
393,ASSET_0E0866F3,30,7,2022-10-30,End-of-life,73.69
394,ASSET_4328DC5D,39,8,2021-07-11,Midlife,32.97
395,ASSET_0C05545F,36,8,2025-05-01,New,64.6
396,ASSET_0BBF2662,13,5,2020-11-12,End-of-life,56.07
397,ASSET_0D4050E9,9,10,2024-01-20,New,67.66
398,ASSET_D29B682B,27,1,2021-06-24,Midlife,85.88
399,ASSET_4A33A7C9,26,4,2024-08-14,Midlife,45.03
400,ASSET_7AEB6BE3,24,4,2021-02-01,End-of-life,32.2
401,ASSET_D3D4D03B,11,1,2024-03-05,Midlife,60.89
402,ASSET_9C99A314,41,1,2021-08-10,Midlife,72.87
403,ASSET_31CEB927,46,5,2025-11-18,End-of-life,84.58
404,ASSET_461F8FAF,50,6,2023-10-17,End-of-life,59.87
405,ASSET_0E810139,18,3,2021-02-11,End-of-life,47.03
406,ASSET_7248998D,35,4,2021-09-23,Midlife,45.43
407,ASSET_725C54BC,40,1,2022-09-19,Midlife,53.95
408,ASSET_5DB3D3CB,4,6,2023-08-09,Midlife,38.76
409,ASSET_21924802,30,5,2024-07-16,New,40.51
410,ASSET_3572562E,37,4,2025-08-25,Midlife,91.44
411,ASSET_8C437826,12,5,2020-09-26,New,53.31
412,ASSET_7E1BF3D3,9,1,2024-12-08,Midlife,45.61
413,ASSET_CFD38BFF,10,9,2020-10-09,New,44.02
414,ASSET_8F5F01A9,44,7,2021-08-06,Midlife,81.68
415,ASSET_892D601F,40,5,2021-03-28,Midlife,35.38
416,ASSET_2B893FCC,8,2,2025-07-12,End-of-life,78.64
417,ASSET_A55C05F0,22,8,2025-10-08,New,33.51
418,ASSET_E85AFB02,19,4,2023-02-03,New,82.4
419,ASSET_2D528F98,37,9,2022-09-12,Midlife,62.37
420,ASSET_8E939F25,14,5,2025-11-15,End-of-life,49.09
421,ASSET_E6A28893,26,3,2021-04-14,New,47.16
422,ASSET_7268B1D8,8,2,2025-03-16,New,89.97
423,ASSET_C36CD1F6,30,9,2024-08-14,New,89.12
