change_id,system_key,team_key,implementation_time,change_type,success_flag,linked_incident_count,time_key
CHG_E99AAC7F21,49,2,2024-10-15,Emergency,1,0,289
CHG_992DCFF062,20,5,2025-11-30,Normal,1,0,700
CHG_6721A2CD1C,25,2,2024-10-01,Emergency,1,0,275
CHG_1AC774DA75,19,1,2024-07-22,Emergency,1,0,204
CHG_7E19BD722E,11,8,2025-08-15,Emergency,1,0,593
CHG_BBCBFD58AF,12,6,2025-11-24,Normal,0,2,694
CHG_A21FF5CBA5,1,5,2025-08-04,Normal,1,0,582
CHG_B3CA0D6589,5,9,2025-08-25,Standard,1,1,603
CHG_5F71909662,3,10,2024-09-08,Normal,1,0,252
CHG_D2DBC26862,44,6,2024-06-09,Emergency,1,0,161
CHG_6CA0CDDDAC,25,7,2024-04-15,Standard,1,0,106
CHG_FDCFE1DC84,27,9,2024-09-21,Emergency,1,0,265
CHG_008E7AD30F,31,8,2025-03-31,Normal,1,0,456
CHG_27312BDF58,40,6,2024-11-14,Emergency,1,0,319
CHG_6FF93CFBE8,35,9,2025-09-29,Standard,1,0,638
CHG_17AA08A969,29,3,2024-10-06,Emergency,0,0,280
CHG_06018FEAE5,5,4,2024-07-11,Emergency,1,0,193
CHG_92F5446CD9,5,4,2024-09-24,Normal,1,0,268
CHG_42A4BBC3B8,11,10,2025-11-04,Standard,1,0,674
CHG_A6FE227E99,44,3,2025-08-23,Normal,1,0,601
CHG_E77237F557,8,6,2024-12-29,Normal,1,0,364
CHG_F64035C056,44,4,2024-04-19,Normal,1,0,110
CHG_E552BC9576,39,10,2024-09-07,Emergency,1,0,251
CHG_93590A17B2,23,2,2024-11-11,Emergency,1,0,316
CHG_195B6D2DB3,50,1,2025-08-11,Emergency,1,0,589
CHG_0C505D54F0,48,7,2025-07-17,Standard,1,0,564
CHG_E93768477B,36,6,2024-06-23,Emergency,1,1,175
CHG_6B0E0507B2,24,6,2025-03-12,Emergency,1,0,437
CHG_117618C899,3,4,2025-08-24,Standard,1,0,602
CHG_97875490EF,7,6,2025-09-19,Standard,1,3,628
CHG_33FDC6D3A3,28,1,2025-03-31,Normal,1,0,456
CHG_B9F58587D3,16,8,2025-07-19,Normal,1,2,566
CHG_65BB78FDA3,8,7,2024-09-11,Emergency,1,2,255
CHG_CC8377A552,40,1,2024-10-17,Standard,1,0,291
CHG_4966D5F785,33,6,2024-04-06,Standard,1,0,97
CHG_61B43558B6,48,9,2025-08-02,Normal,1,0,580
CHG_2D75BF073B,13,10,2025-08-27,Normal,1,0,605
CHG_81886FE7B6,35,10,2024-08-30,Normal,1,0,243
CHG_37F85B2ED8,13,9,2024-07-29,Standard,1,2,211
CHG_42CB1ACE29,8,10,2025-07-18,Emergency,1,0,565
CHG_B407C38CA8,18,2,2025-06-30,Normal,1,0,547
CHG_E45ACD8677,42,10,2025-05-18,Emergency,0,1,504
CHG_29CDBFD91D,13,5,2025-06-26,Standard,1,0,543
CHG_D850C5E61C,19,9,2024-01-28,Normal,1,0,28
CHG_3E6809835B,43,5,2024-12-10,Standard,1,0,345
CHG_970A92EAB5,46,8,2024-07-16,Standard,1,0,198
CHG_B4E691C821,24,3,2024-11-13,Standard,1,0,318
CHG_C162E2231E,48,3,2024-04-05,Standard,1,0,96
CHG_BB289D4191,16,9,2024-03-15,Normal,1,0,75
CHG_97F1EB60F4,29,3,2025-11-24,Standard,1,0,694
CHG_F084BE541A,38,5,2025-09-26,Normal,1,3,635
CHG_8F2C47512F,18,8,2025-02-23,Emergency,1,0,420
CHG_87FA98269C,5,6,2025-01-12,Standard,1,0,378
CHG_834C457F61,36,3,2024-03-07,Normal,0,2,67
CHG_EB221D98C9,41,5,2025-03-28,Emergency,1,1,453
CHG_71FF3777B4,1,9,2024-01-13,Standard,1,0,13
CHG_3678289451,32,5,2024-01-28,Standard,1,0,28
CHG_214294A9DE,2,4,2025-04-14,Emergency,1,0,470
CHG_303095C103,11,8,2024-09-25,Standard,0,0,269
CHG_F0F3BBCF67,41,6,2025-11-19,Emergency,1,0,689
CHG_3954006446,7,10,2025-02-05,Standard,1,0,402
CHG_EBD7925D29,1,10,2024-12-05,Emergency,1,2,340
CHG_9F27EEAE14,29,2,2025-09-20,Normal,1,0,629
CHG_FA11893D8F,17,5,2024-08-15,Normal,1,2,228
CHG_5622F2E3F4,2,2,2025-03-17,Standard,1,0,442
CHG_85B28F8F8C,50,9,2024-07-07,Standard,1,0,189
CHG_F02EF02713,29,10,2025-08-28,Standard,0,0,606
CHG_9903F1DBF3,49,7,2024-06-01,Emergency,1,0,153
CHG_965246719C,31,9,2025-08-18,Normal,1,0,596
CHG_88FE721018,31,1,2024-06-19,Normal,1,0,171
CHG_C112186BE7,46,7,2025-10-03,Emergency,1,1,642
CHG_732F1A699C,28,8,2024-09-13,Standard,1,0,257
CHG_33DDEFD7CB,18,2,2025-08-27,Normal,1,2,605
CHG_649001BBB2,8,4,2025-10-22,Standard,1,0,661
CHG_F05AAD8298,27,9,2024-12-31,Standard,1,0,366
CHG_4BD5C663DC,10,3,2024-10-09,Normal,1,0,283
CHG_17D6A82AC5,1,6,2025-07-16,Normal,1,0,563
CHG_20D4ECFDDB,10,8,2024-05-11,Emergency,0,0,132
CHG_ACA0415632,22,8,2025-04-17,Standard,1,0,473
CHG_2B7B0C93AF,13,6,2024-08-24,Normal,1,0,237
CHG_86B7370AC2,10,3,2025-09-14,Standard,1,1,623
CHG_EE3C832986,19,6,2024-05-17,Emergency,0,0,138
CHG_A150A3ED04,12,8,2025-03-30,Standard,1,0,455
CHG_8B8CC2EEBD,27,9,2024-09-14,Normal,0,1,258
CHG_8F815E1AA5,25,10,2025-05-20,Standard,1,0,506
CHG_96F60103D1,30,5,2024-05-07,Emergency,1,0,128
CHG_C773474696,31,5,2024-01-18,Standard,1,0,18
CHG_FB98F63A45,23,2,2024-01-25,Normal,1,0,25
CHG_07538CF8DC,2,6,2024-05-04,Standard,1,1,125
CHG_408D4C1D08,24,2,2024-06-11,Normal,1,0,163
CHG_642B33C4AC,46,10,2024-04-02,Normal,1,0,93
CHG_1353EC951F,16,10,2024-02-18,Standard,1,0,49
CHG_B4E84372C8,35,1,2025-07-17,Emergency,1,0,564
CHG_C745864B3C,17,4,2025-04-18,Normal,1,0,474
CHG_3013640AD7,16,6,2024-03-24,Standard,1,0,84
CHG_93900BB884,16,8,2025-10-30,Standard,1,0,669
CHG_BE245C35CF,14,7,2024-07-17,Emergency,0,0,199
CHG_FBB710CEBD,16,10,2025-05-23,Standard,1,1,509
CHG_BF7783D9E1,39,1,2024-04-18,Normal,1,0,109
CHG_8E677EF5BD,23,9,2024-05-04,Emergency,1,1,125
CHG_FD967EC06B,21,8,2025-08-08,Standard,1,0,586
CHG_19F30CAAEF,22,4,2024-08-11,Emergency,1,0,224
CHG_0B66ABD99A,23,3,2025-07-18,Normal,1,0,565
CHG_A0059BBF6F,44,10,2025-07-26,Emergency,1,0,573
CHG_28B0DFE1F0,16,1,2025-10-26,Standard,1,0,665
CHG_72C368045D,20,3,2025-08-09,Normal,0,0,587
CHG_CD613D147B,49,6,2024-05-18,Emergency,1,0,139
CHG_144B5B75FF,47,3,2025-01-24,Standard,1,0,390
CHG_23A35CB2A4,40,3,2024-03-08,Standard,0,0,68
CHG_5AE42F6750,49,7,2024-12-02,Normal,1,0,337
CHG_304A471ABA,9,10,2024-12-16,Standard,1,0,351
CHG_CEF03E9B14,32,5,2025-08-24,Normal,1,0,602
CHG_42085FFF92,28,5,2025-01-25,Normal,1,0,391
CHG_EDFBA195AE,50,4,2024-06-27,Standard,0,1,179
CHG_D3A287099C,10,2,2025-10-15,Emergency,1,0,654
CHG_DBC43339C1,23,1,2025-02-17,Normal,1,0,414
CHG_EE483F7FEF,7,2,2025-07-29,Standard,1,0,576
CHG_75963D42F3,38,7,2024-05-02,Emergency,1,0,123
CHG_0CFC53EC48,36,8,2024-02-05,Standard,1,0,36
CHG_96839F5DEA,13,5,2025-01-29,Emergency,1,0,395
CHG_8052D37E09,42,10,2025-11-20,Standard,1,0,690
CHG_F3351B2F2A,40,9,2024-10-05,Normal,1,0,279
CHG_2CA356780C,39,8,2024-07-16,Normal,1,0,198
CHG_FCBF8CC4A7,8,1,2025-10-28,Emergency,1,0,667
CHG_A8AFB0D41B,9,3,2024-01-02,Emergency,1,0,2
CHG_0C3B305C70,5,6,2024-03-13,Emergency,0,3,73
CHG_4B8021E491,10,4,2024-06-06,Normal,1,0,158
CHG_814BB323AD,37,9,2025-10-18,Standard,1,0,657
CHG_E6AAC240B9,30,7,2025-01-05,Emergency,1,0,371
CHG_245D1D555C,21,5,2025-03-15,Emergency,1,0,440
CHG_8136E56285,19,5,2024-04-08,Emergency,1,0,99
CHG_66AEE82AD0,34,10,2024-07-10,Emergency,1,3,192
CHG_61FDFF7F64,9,5,2025-06-15,Normal,1,0,532
CHG_EB0E502ADD,31,3,2025-09-15,Standard,1,0,624
CHG_84FCE0A96C,23,6,2024-06-23,Normal,1,0,175
CHG_882C3BE00D,50,1,2025-11-29,Normal,1,0,699
CHG_19538093CC,29,2,2024-07-10,Normal,1,0,192
CHG_1A6CA2F084,47,2,2025-06-15,Normal,1,0,532
CHG_C408847750,7,2,2024-12-04,Normal,1,0,339
CHG_AA0D909ADF,28,7,2024-10-24,Normal,1,0,298
CHG_280E647BAA,33,4,2025-03-15,Standard,1,0,440
CHG_C40C2C7001,23,10,2025-05-11,Standard,1,0,497
CHG_A516F18F2B,12,10,2025-11-17,Normal,1,0,687
CHG_40B8FFA594,42,7,2025-03-22,Normal,1,0,447
CHG_86663A1B7A,5,9,2024-09-08,Emergency,1,0,252
CHG_A29ABFF73D,24,6,2025-10-20,Normal,1,2,659
CHG_E658BC85A8,44,5,2024-08-11,Normal,1,0,224
CHG_E78CE2FEAE,42,7,2024-07-14,Emergency,1,0,196
CHG_87D3B3E875,17,5,2025-04-18,Standard,1,0,474
CHG_4ED20949D5,34,4,2025-06-25,Standard,1,1,542
CHG_535E215275,19,8,2024-11-04,Emergency,1,0,309
CHG_558288663F,40,2,2025-08-25,Emergency,1,0,603
CHG_1931416DE8,27,10,2024-03-15,Normal,0,0,75
CHG_60A9A5EE6A,47,10,2024-12-03,Standard,1,0,338
CHG_0117636825,29,4,2024-07-04,Normal,1,0,186
CHG_BAA13E06CE,34,2,2024-12-11,Emergency,1,0,346
CHG_1B60493275,11,10,2025-03-17,Normal,1,0,442
CHG_A17A45BE94,7,4,2025-09-01,Normal,0,0,610
CHG_7B8C0D51AA,34,1,2025-07-25,Normal,1,0,572
CHG_97BE6093CF,7,6,2025-02-27,Standard,1,0,424
CHG_F695241441,6,2,2024-05-01,Normal,1,0,122
CHG_EA021626EB,26,4,2025-08-07,Standard,1,0,585
CHG_EDC11109D3,2,2,2024-09-26,Standard,1,0,270
CHG_FF6F81C72A,7,2,2025-02-13,Normal,1,0,410
CHG_C943D94B26,27,3,2024-12-12,Emergency,1,0,347
CHG_D4265F08A6,30,6,2024-10-12,Normal,1,0,286
CHG_9E38D59CC5,28,2,2024-04-23,Emergency,1,0,114
CHG_0DBCD30951,38,2,2024-11-06,Emergency,1,0,311
CHG_8A58E51861,49,5,2025-08-08,Normal,0,0,586
CHG_478563E1D5,39,9,2024-10-10,Emergency,1,0,284
CHG_D5E9AA3640,47,9,2024-06-19,Normal,1,0,171
CHG_4A6303BCC1,8,2,2025-07-28,Normal,1,0,575
CHG_9F32B3F7FD,7,8,2024-12-04,Emergency,1,0,339
CHG_FD246170C2,31,4,2024-07-30,Standard,1,0,212
CHG_68A757C74C,14,4,2025-02-09,Standard,1,0,406
CHG_7D87D20306,22,10,2024-07-10,Emergency,1,0,192
CHG_0A0A02FE43,11,6,2024-02-26,Emergency,1,0,57
CHG_FD73213C42,6,3,2024-12-11,Emergency,1,0,346
CHG_2C0637F5B3,43,9,2025-02-13,Standard,1,1,410
CHG_0368FBD8C0,30,4,2024-11-12,Normal,1,0,317
CHG_7E63405C26,25,9,2025-10-01,Standard,1,0,640
CHG_368A5828A3,7,2,2025-03-01,Emergency,1,0,426
CHG_2CF25A4680,10,10,2025-09-09,Standard,1,0,618
CHG_5329DD673C,23,4,2024-03-13,Emergency,1,0,73
CHG_51FB722206,15,6,2025-08-30,Standard,1,0,608
CHG_8F3F29502A,13,5,2024-03-31,Emergency,1,0,91
CHG_FEF59AED1F,6,1,2024-12-26,Standard,1,1,361
CHG_E9E88A97F1,23,1,2024-05-26,Standard,1,0,147
CHG_42D30AD1B2,5,4,2025-10-01,Emergency,1,1,640
CHG_4CFE7C73DD,5,8,2024-01-29,Standard,1,1,29
CHG_EBBB43F23E,14,7,2025-06-25,Standard,1,2,542
CHG_E141028435,42,7,2025-11-22,Normal,1,0,692
CHG_12A0F804D4,34,8,2025-05-28,Standard,1,0,514
CHG_2195A53E84,37,3,2025-04-17,Normal,1,0,473
CHG_FFEFC7F11E,28,3,2024-01-17,Emergency,1,1,17
CHG_E933D1E5D2,16,2,2024-12-10,Emergency,1,0,345
CHG_F2E60F1631,44,10,2024-02-08,Standard,1,3,39
CHG_CF36F751F3,29,3,2025-08-20,Normal,1,1,598
CHG_BF69F91D3E,11,10,2025-05-04,Standard,1,0,490
CHG_208AF49D7A,1,7,2025-03-05,Standard,1,0,430
CHG_654ECD62D9,44,4,2025-05-18,Standard,1,2,504
CHG_3E921A2354,34,7,2024-04-08,Standard,1,0,99
CHG_65393F16CB,8,5,2025-05-23,Normal,1,0,509
CHG_4CB31FD9AF,13,4,2025-10-16,Standard,1,0,655
CHG_57C550BF7E,37,6,2025-10-14,Emergency,1,2,653
CHG_BF97690BD3,46,10,2025-03-29,Emergency,0,0,454
CHG_C7175A3B81,27,10,2025-06-27,Standard,0,0,544
CHG_489045C7CA,22,8,2024-02-12,Standard,1,0,43
CHG_02FD34FC91,4,5,2025-06-24,Normal,0,0,541
CHG_DAF88BA214,43,1,2024-10-22,Normal,1,0,296
CHG_B6A4C8BA4E,17,3,2024-04-09,Standard,1,0,100
CHG_B16A85550B,48,6,2024-08-19,Emergency,1,0,232
CHG_A08FBDA412,4,7,2024-09-23,Standard,1,0,267
CHG_70B3600DB3,6,2,2024-12-30,Emergency,1,0,365
CHG_9F1A436080,33,8,2024-03-16,Emergency,1,0,76
CHG_32C9C13BF1,13,6,2024-11-25,Emergency,0,0,330
CHG_7E96F8DF41,21,4,2024-12-29,Emergency,1,2,364
CHG_30F6819B06,13,7,2024-12-07,Standard,1,2,342
CHG_94FE7027B8,44,10,2024-06-29,Normal,1,0,181
CHG_8CB30213C7,18,5,2025-08-18,Emergency,1,0,596
CHG_3B8F7B2951,33,10,2024-11-01,Standard,1,0,306
CHG_64C1707363,16,8,2025-11-07,Emergency,0,0,677
CHG_854DD016E8,44,6,2024-08-29,Emergency,1,2,242
CHG_F11AEF0DEC,8,8,2025-10-01,Emergency,1,0,640
CHG_13ED503D89,10,8,2024-10-31,Normal,1,1,305
CHG_05FEF10AC6,2,6,2024-01-01,Standard,1,0,1
CHG_E034714A7C,36,5,2025-05-15,Normal,1,0,501
CHG_4BE122DCFF,38,8,2025-11-02,Standard,1,0,672
CHG_A68063A566,12,2,2024-12-11,Normal,1,0,346
CHG_15C699511E,39,2,2025-03-04,Emergency,1,0,429
CHG_C140DEDD00,8,3,2025-03-02,Normal,1,0,427
CHG_BE65DC855F,18,10,2024-02-08,Normal,1,0,39
CHG_A7AF8362A4,24,1,2025-10-02,Normal,1,0,641
CHG_82AFC83181,41,9,2025-06-22,Emergency,1,1,539
CHG_51574DD871,29,9,2024-10-02,Emergency,1,0,276
CHG_F193B57EED,2,9,2024-06-16,Normal,1,0,168
CHG_AE5C4FA8A1,41,3,2025-10-08,Emergency,1,0,647
CHG_80C265E9AD,24,10,2025-03-12,Emergency,1,3,437
CHG_35239745C4,12,6,2025-02-19,Emergency,1,0,416
CHG_D166539E0E,3,5,2025-03-13,Emergency,1,0,438
CHG_7221A6B15D,42,6,2024-07-19,Standard,1,0,201
CHG_7756909E59,25,6,2024-06-05,Emergency,1,0,157
CHG_703629C2EF,49,2,2025-09-13,Normal,1,0,622
CHG_39CD44A7ED,37,10,2024-06-10,Normal,1,1,162
CHG_AD04912802,29,3,2025-08-17,Normal,1,0,595
CHG_406B81D6DC,27,8,2024-05-15,Standard,1,0,136
CHG_26B5AD5E74,9,3,2024-12-27,Standard,1,0,362
CHG_A461B1C658,43,4,2025-05-12,Standard,1,0,498
CHG_22D99CC591,44,7,2025-01-07,Standard,1,3,373
CHG_E9643261AC,10,6,2024-11-17,Standard,1,3,322
CHG_BDAFE29031,10,5,2025-03-25,Standard,1,0,450
CHG_D241CB50DD,31,6,2025-09-05,Normal,1,0,614
CHG_BDAE468117,27,1,2024-10-17,Normal,1,0,291
CHG_59A510D6B8,22,6,2024-02-12,Normal,0,0,43
CHG_C0917025AE,43,4,2025-05-20,Standard,1,0,506
CHG_AAB6E72499,33,2,2024-02-11,Normal,1,0,42
CHG_175EE746D7,22,2,2024-08-17,Normal,1,3,230
CHG_F1EA7ACC1F,17,4,2025-05-29,Emergency,0,0,515
CHG_5ED3CD375A,31,9,2024-12-18,Emergency,1,0,353
CHG_BD747554F7,11,3,2025-08-08,Emergency,1,0,586
CHG_BCF5D2E204,17,1,2024-07-12,Standard,1,0,194
CHG_8BD678730C,14,1,2024-09-17,Normal,1,0,261
CHG_757AA3F77A,40,7,2024-03-03,Emergency,1,0,63
CHG_DDC205F96E,41,1,2024-07-19,Emergency,1,0,201
CHG_775B90EB96,40,9,2025-08-03,Normal,1,0,581
CHG_7923DCC596,31,1,2024-11-29,Emergency,1,0,334
CHG_6CB8573A9C,24,7,2025-05-22,Emergency,1,1,508
CHG_29416F3E16,47,4,2025-05-08,Normal,1,0,494
CHG_B1E4B8BDA6,2,4,2025-10-25,Emergency,1,0,664
CHG_7BB2FB0B97,17,3,2024-10-13,Normal,1,0,287
CHG_7034CA94B5,22,3,2025-03-05,Normal,1,0,430
CHG_C7DD3E0C1C,38,5,2024-01-18,Emergency,1,1,18
CHG_E92AAD2F53,14,10,2024-01-20,Emergency,1,0,20
CHG_A9A414356B,4,5,2024-08-22,Emergency,1,0,235
CHG_DB441DF0E0,1,4,2025-05-06,Normal,1,2,492
CHG_C41A681C28,20,10,2024-10-18,Normal,1,0,292
CHG_9605631548,10,5,2024-11-02,Normal,1,0,307
CHG_8AF32A09D3,19,2,2024-03-13,Normal,1,2,73
CHG_7B4FD2E1F6,7,7,2024-07-13,Standard,1,0,195
CHG_A26C69BCF9,32,2,2025-02-06,Standard,1,0,403
CHG_8940DD97B9,9,8,2024-01-31,Standard,1,0,31
CHG_8027149E55,39,4,2024-10-16,Emergency,1,0,290
CHG_3092CD3FFA,40,6,2024-11-06,Emergency,1,0,311
CHG_D3760E4DF1,41,9,2024-12-29,Emergency,1,2,364
